,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ARIZONA,15.3,14.8,16.1,16.7,17.3,16.5,17.0,16.9,18.2,18.4,18.7
Apache,14.6,28.9,18.3,43.3,37.5,24.9,36.0,32.0,24.9,23.6,28.9
Cochise,18.9,15.1,19.7,22.8,19.9,22.2,19.1,28.5,20.9,21.8,28.8
Coconino,14.8,11.1,23.1,20.8,21.6,17.1,19.2,16.5,21.9,16.1,26.4
Gila,28.7,12.2,21.9,13.1,18.7,28.0,31.7,27.7,31.2,25.8,36.4
Graham,24.8,20.7,15.1,8.1,26.5,13.4,18.5,15.7,15.6,31.3,26.1
Greenlee,12.1,11.2,11.5,11.9,35.8,23.3,9.2,9.5,0.0,19.2,18.2
La Paz,14.2,13.6,13.3,14.4,15.3,23.9,19.1,42.4,33.0,23.5,60.2
Maricopa,25.3,26.4,31.8,27.0,31.9,14.2,15.0,14.7,15.9,16.2,15.6
Mohave,15.6,12.2,19.9,30.7,30.8,31.0,33.4,34.3,32.6,33.5,32.4
Navajo,14.3,14.7,16.9,17.8,16.9,30.6,22.1,17.4,25.5,31.7,39.5
Pima,15.0,14.6,18.9,18.9,13.5,17.9,18.1,16.5,19.3,18.2,20.9
Pinal,4.3,2.1,16.8,8.4,8.3,12.8,13.2,14.6,16.2,16.5,14.7
Santa Cruz,29.5,30.6,31.2,28.4,30.3,4.1,14.2,6.1,8.0,9.9,5.8
Yavapai,10.9,10.3,11.2,7.7,11.5,32.1,29.1,33.4,34.9,37.2,35.1
Yuma,23.0,13.9,45.9,4.9,14.5,8.8,8.1,11.8,15.3,11.9,9.5
