DAY,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,AVG
01-01,59.0,53.0,40.0,54.0,38.0,30.0,55.0,32.0,54.0,27.0,40.0,46.0,59.0,45.0
01-02,69.0,50.0,38.0,59.0,44.0,25.0,53.0,33.0,57.0,23.0,48.0,40.0,51.0,45.0
01-03,60.0,53.0,55.0,52.0,42.0,32.0,58.0,35.0,59.0,33.0,49.0,48.0,48.0,48.0
01-04,58.0,62.0,54.0,36.0,46.0,32.0,58.0,33.0,60.0,38.0,51.0,54.0,58.0,49.0
01-05,52.0,46.0,55.0,37.0,45.0,36.0,60.0,42.0,39.0,44.0,48.0,53.0,62.0,48.0
01-06,58.0,37.0,49.0,37.0,46.0,33.0,57.0,45.0,40.0,44.0,44.0,43.0,64.0,46.0
01-07,70.0,43.0,44.0,48.0,45.0,37.0,57.0,42.0,48.0,50.0,40.0,42.0,53.0,48.0
01-08,61.0,50.0,41.0,51.0,41.0,41.0,37.0,41.0,53.0,53.0,34.0,62.0,59.0,48.0
01-09,49.0,51.0,49.0,48.0,45.0,46.0,40.0,54.0,56.0,54.0,39.0,63.0,62.0,50.0
01-10,55.0,60.0,46.0,42.0,42.0,53.0,53.0,54.0,52.0,54.0,36.0,59.0,46.0,50.0
01-11,62.0,59.0,51.0,45.0,45.0,52.0,49.0,39.0,58.0,53.0,37.0,58.0,48.0,50.0
01-12,54.0,58.0,43.0,49.0,53.0,46.0,40.0,26.0,57.0,50.0,45.0,62.0,56.0,49.0
01-13,63.0,45.0,42.0,48.0,52.0,47.0,45.0,31.0,48.0,43.0,47.0,57.0,56.0,48.0
01-14,67.0,30.0,47.0,50.0,45.0,42.0,54.0,24.0,51.0,43.0,53.0,64.0,55.0,48.0
01-15,54.0,34.0,52.0,56.0,48.0,46.0,52.0,25.0,53.0,50.0,43.0,43.0,58.0,47.0
01-16,40.0,43.0,34.0,53.0,51.0,51.0,50.0,36.0,52.0,53.0,38.0,46.0,51.0,46.0
01-17,49.0,46.0,30.0,56.0,53.0,61.0,49.0,41.0,53.0,55.0,49.0,47.0,52.0,49.0
01-18,60.0,40.0,35.0,50.0,46.0,57.0,59.0,46.0,57.0,57.0,52.0,47.0,54.0,51.0
01-19,53.0,54.0,44.0,52.0,49.0,58.0,66.0,48.0,58.0,62.0,50.0,43.0,64.0,54.0
01-20,42.0,36.0,55.0,58.0,42.0,44.0,59.0,50.0,59.0,54.0,54.0,42.0,57.0,50.0
01-21,49.0,33.0,50.0,59.0,51.0,48.0,56.0,49.0,56.0,48.0,46.0,39.0,34.0,48.0
01-22,47.0,38.0,51.0,51.0,37.0,53.0,43.0,56.0,53.0,38.0,53.0,43.0,41.0,46.0
01-23,53.0,37.0,51.0,56.0,34.0,46.0,51.0,60.0,51.0,43.0,63.0,54.0,45.0,50.0
01-24,50.0,40.0,54.0,58.0,33.0,45.0,43.0,54.0,49.0,51.0,52.0,37.0,54.0,48.0
01-25,58.0,46.0,49.0,58.0,37.0,46.0,45.0,58.0,53.0,54.0,44.0,34.0,60.0,49.0
01-26,52.0,47.0,54.0,50.0,47.0,47.0,56.0,54.0,57.0,59.0,45.0,36.0,48.0,50.0
01-27,53.0,50.0,56.0,39.0,49.0,49.0,54.0,55.0,57.0,61.0,48.0,33.0,51.0,50.0
01-28,48.0,55.0,46.0,45.0,37.0,53.0,50.0,47.0,54.0,61.0,56.0,40.0,53.0,50.0
01-29,55.0,53.0,38.0,47.0,40.0,56.0,52.0,30.0,59.0,63.0,63.0,48.0,58.0,51.0
01-30,61.0,46.0,36.0,52.0,45.0,55.0,61.0,38.0,63.0,51.0,61.0,53.0,63.0,53.0
01-31,58.0,45.0,31.0,56.0,48.0,41.0,55.0,48.0,54.0,49.0,60.0,60.0,66.0,52.0
02-01,57.0,34.0,47.0,53.0,47.0,36.0,57.0,54.0,40.0,49.0,48.0,64.0,66.0,50.0
02-02,65.0,37.0,49.0,53.0,47.0,12.0,47.0,57.0,47.0,57.0,30.0,62.0,66.0,48.0
02-03,55.0,46.0,46.0,62.0,34.0,17.0,43.0,49.0,43.0,61.0,31.0,61.0,62.0,47.0
