Date,Time,Temp
2005-01-01,00:56:00,46
2005-01-01,01:56:00,46
2005-01-01,02:56:00,44
2005-01-01,03:56:00,42
2005-01-01,04:56:00,40
2005-01-01,05:56:00,41
2005-01-01,06:56:00,36
2005-01-01,07:56:00,37
2005-01-01,08:56:00,49
2005-01-01,09:56:00,53
2005-01-01,10:56:00,58
2005-01-01,11:56:00,60
2005-01-01,12:56:00,63
2005-01-01,13:56:00,66
2005-01-01,14:56:00,65
2005-01-01,15:56:00,63
2005-01-01,16:56:00,61
2005-01-01,17:56:00,56
2005-01-01,18:56:00,56
2005-01-01,19:56:00,53
2005-01-01,20:56:00,53
2005-01-01,21:56:00,52
2005-01-01,22:56:00,51
2005-01-01,23:56:00,52
2005-01-02,00:56:00,51
2005-01-02,01:56:00,53
2005-01-02,02:56:00,54
2005-01-02,03:56:00,54
2005-01-02,04:56:00,52
2005-01-02,05:56:00,48
2005-01-02,06:56:00,48
2005-01-02,07:56:00,47
2005-01-02,08:44:00,46
2005-01-02,08:56:00,47
2005-01-02,09:10:00,46
2005-01-02,09:14:00,46
2005-01-02,09:27:00,46
2005-01-02,09:43:00,46
2005-01-02,09:49:00,46
2005-01-02,09:56:00,47
2005-01-02,10:05:00,46
2005-01-02,10:23:00,46
2005-01-02,10:37:00,46
2005-01-02,10:56:00,47
2005-01-02,11:56:00,48
2005-01-02,12:12:00,48
2005-01-02,12:36:00,48
2005-01-02,12:41:00,46
2005-01-02,12:56:00,47
2005-01-02,13:10:00,48
2005-01-02,13:27:00,48
2005-01-02,13:34:00,48
2005-01-02,13:56:00,50
2005-01-02,14:47:00,52
2005-01-02,14:56:00,52
2005-01-02,15:03:00,52
2005-01-02,15:56:00,52
2005-01-02,16:32:00,52
2005-01-02,16:56:00,52
2005-01-02,17:56:00,49
2005-01-02,18:15:00,48
2005-01-02,18:56:00,50
2005-01-02,19:13:00,48
2005-01-02,19:56:00,46
2005-01-02,20:56:00,48
2005-01-02,21:28:00,48
2005-01-02,21:56:00,48
2005-01-02,22:06:00,46
2005-01-02,22:56:00,49
2005-01-02,23:49:00,48
2005-01-02,23:56:00,49
2005-01-03,00:56:00,47
2005-01-03,01:56:00,47
2005-01-03,02:56:00,48
2005-01-03,03:56:00,47
2005-01-03,04:56:00,47
2005-01-03,05:56:00,47
2005-01-03,06:56:00,47
2005-01-03,07:56:00,46
2005-01-03,08:56:00,52
2005-01-03,09:56:00,55
2005-01-03,10:56:00,56
2005-01-03,11:30:00,57
2005-01-03,11:56:00,58
2005-01-03,12:56:00,58
2005-01-03,13:56:00,57
2005-01-03,14:56:00,55
2005-01-03,15:56:00,54
2005-01-03,16:56:00,52
2005-01-03,17:56:00,51
2005-01-03,18:56:00,51
2005-01-03,19:56:00,51
2005-01-03,20:10:00,52
2005-01-03,20:28:00,52
2005-01-03,20:56:00,52
2005-01-03,21:42:00,52
2005-01-03,21:56:00,51
2005-01-03,22:56:00,52
2005-01-03,23:56:00,51
2005-01-04,00:56:00,50
2005-01-04,01:56:00,51
2005-01-04,02:56:00,50
2005-01-04,03:56:00,50
2005-01-04,04:56:00,49
2005-01-04,05:02:00,48
2005-01-04,05:25:00,48
2005-01-04,05:56:00,49
2005-01-04,06:04:00,48
2005-01-04,06:15:00,48
2005-01-04,06:25:00,48
2005-01-04,06:29:00,48
2005-01-04,06:32:00,48
2005-01-04,06:40:00,48
2005-01-04,06:56:00,48
2005-01-04,07:56:00,49
2005-01-04,08:56:00,49
2005-01-04,09:56:00,52
2005-01-04,10:56:00,55
2005-01-04,11:56:00,56
2005-01-04,12:56:00,56
2005-01-04,13:56:00,59
2005-01-04,14:56:00,57
2005-01-04,15:56:00,54
2005-01-04,16:33:00,48
2005-01-04,16:56:00,46
2005-01-04,17:20:00,45
2005-01-04,17:27:00,45
2005-01-04,17:38:00,45
2005-01-04,17:56:00,44
2005-01-04,18:56:00,43
2005-01-04,19:56:00,42
2005-01-04,20:56:00,42
2005-01-04,21:56:00,41
2005-01-04,22:56:00,40
2005-01-04,23:56:00,40
2005-01-05,00:56:00,40
2005-01-05,01:56:00,40
2005-01-05,02:56:00,38
2005-01-05,03:56:00,39
2005-01-05,04:56:00,37
2005-01-05,05:56:00,36
2005-01-05,06:56:00,34
2005-01-05,07:56:00,35
2005-01-05,08:56:00,39
2005-01-05,09:56:00,41
2005-01-05,10:56:00,43
2005-01-05,11:56:00,44
2005-01-05,12:56:00,45
2005-01-05,13:56:00,46
2005-01-05,14:56:00,47
2005-01-05,15:56:00,47
2005-01-05,16:56:00,46
2005-01-05,17:56:00,43
2005-01-05,18:56:00,41
2005-01-05,19:56:00,40
2005-01-05,20:56:00,36
2005-01-05,21:56:00,34
2005-01-05,22:56:00,34
2005-01-05,23:56:00,32
2005-01-06,00:56:00,30
2005-01-06,01:56:00,30
2005-01-06,02:56:00,30
2005-01-06,03:56:00,29
2005-01-06,04:56:00,28
2005-01-06,05:56:00,27
2005-01-06,06:56:00,26
2005-01-06,07:56:00,28
2005-01-06,08:56:00,33
2005-01-06,09:56:00,37
2005-01-06,10:56:00,41
2005-01-06,11:56:00,45
2005-01-06,12:56:00,48
2005-01-06,13:56:00,50
2005-01-06,14:56:00,51
2005-01-06,15:56:00,51
2005-01-06,16:56:00,52
2005-01-06,17:56:00,49
2005-01-06,18:56:00,45
2005-01-06,19:56:00,45
2005-01-06,20:56:00,42
2005-01-06,21:56:00,41
2005-01-06,22:56:00,40
2005-01-06,23:56:00,40
2005-01-07,00:56:00,38
2005-01-07,01:56:00,35
2005-01-07,02:56:00,33
2005-01-07,03:56:00,33
2005-01-07,04:56:00,30
2005-01-07,05:56:00,30
2005-01-07,06:56:00,30
2005-01-07,07:56:00,33
2005-01-07,08:56:00,39
2005-01-07,09:56:00,43
2005-01-07,10:56:00,50
2005-01-07,11:56:00,55
2005-01-07,12:56:00,57
2005-01-07,13:56:00,61
2005-01-07,14:56:00,63
2005-01-07,15:56:00,63
2005-01-07,16:56:00,60
2005-01-07,17:56:00,54
2005-01-07,18:56:00,51
2005-01-07,19:56:00,50
2005-01-07,20:56:00,45
2005-01-07,21:56:00,47
2005-01-07,22:56:00,45
2005-01-07,23:56:00,46
2005-01-08,00:56:00,44
2005-01-08,01:56:00,45
2005-01-08,02:56:00,45
2005-01-08,03:56:00,41
2005-01-08,04:56:00,41
2005-01-08,05:56:00,38
2005-01-08,06:56:00,40
2005-01-08,07:56:00,41
2005-01-08,08:56:00,51
2005-01-08,09:56:00,55
2005-01-08,10:56:00,58
2005-01-08,11:56:00,61
2005-01-08,12:56:00,64
2005-01-08,13:56:00,67
2005-01-08,14:56:00,66
2005-01-08,15:56:00,67
2005-01-08,16:56:00,65
2005-01-08,17:56:00,58
2005-01-08,18:56:00,56
2005-01-08,19:56:00,51
2005-01-08,20:56:00,51
2005-01-08,21:56:00,50
2005-01-08,22:56:00,44
2005-01-08,23:56:00,45
2005-01-09,00:56:00,45
2005-01-09,01:56:00,37
2005-01-09,02:56:00,38
2005-01-09,03:56:00,40
2005-01-09,04:56:00,39
2005-01-09,05:56:00,36
2005-01-09,06:56:00,34
2005-01-09,07:56:00,36
2005-01-09,08:56:00,40
2005-01-09,09:56:00,47
2005-01-09,10:56:00,54
2005-01-09,11:56:00,59
2005-01-09,12:56:00,61
2005-01-09,13:56:00,64
2005-01-09,14:56:00,65
2005-01-09,15:56:00,64
2005-01-09,16:56:00,61
2005-01-09,17:56:00,55
2005-01-09,18:56:00,53
2005-01-09,19:56:00,51
2005-01-09,20:56:00,48
2005-01-09,21:56:00,47
2005-01-09,22:56:00,48
2005-01-09,23:56:00,45
2005-01-10,00:56:00,45
2005-01-10,01:56:00,46
2005-01-10,02:56:00,43
2005-01-10,03:56:00,43
2005-01-10,04:56:00,45
2005-01-10,05:56:00,40
2005-01-10,06:56:00,38
2005-01-10,07:56:00,39
2005-01-10,08:56:00,45
2005-01-10,09:56:00,51
2005-01-10,10:56:00,59
2005-01-10,11:56:00,64
2005-01-10,12:56:00,68
2005-01-10,13:56:00,71
2005-01-10,14:44:00,75
2005-01-10,14:56:00,74
2005-01-10,15:56:00,71
2005-01-10,16:56:00,70
2005-01-10,17:19:00,66
2005-01-10,17:56:00,60
2005-01-10,18:56:00,53
2005-01-10,19:56:00,51
2005-01-10,20:56:00,49
2005-01-10,21:56:00,45
2005-01-10,22:56:00,50
2005-01-10,23:56:00,46
2005-01-11,00:56:00,46
2005-01-11,01:56:00,47
2005-01-11,02:56:00,48
2005-01-11,03:56:00,46
2005-01-11,04:56:00,45
2005-01-11,05:56:00,45
2005-01-11,06:56:00,47
2005-01-11,07:56:00,50
2005-01-11,08:56:00,54
2005-01-11,09:56:00,56
2005-01-11,10:56:00,62
2005-01-11,11:56:00,67
2005-01-11,12:56:00,71
2005-01-11,13:56:00,69
2005-01-11,14:56:00,70
2005-01-11,15:56:00,68
2005-01-11,16:56:00,65
2005-01-11,17:56:00,63
2005-01-11,18:56:00,61
2005-01-11,19:56:00,60
2005-01-11,20:56:00,57
2005-01-11,21:56:00,55
2005-01-11,22:56:00,53
2005-01-11,23:56:00,51
2005-01-12,00:56:00,50
2005-01-12,01:56:00,51
2005-01-12,02:49:00,46
2005-01-12,02:56:00,47
2005-01-12,03:03:00,46
2005-01-12,03:43:00,41
2005-01-12,03:56:00,41
2005-01-12,04:56:00,39
2005-01-12,05:56:00,38
2005-01-12,06:56:00,37
2005-01-12,07:56:00,37
2005-01-12,08:56:00,42
2005-01-12,09:56:00,43
2005-01-12,10:56:00,44
2005-01-12,11:56:00,48
2005-01-12,12:56:00,50
2005-01-12,13:56:00,51
2005-01-12,14:56:00,50
2005-01-12,15:56:00,49
2005-01-12,16:56:00,48
2005-01-12,17:56:00,44
2005-01-12,18:56:00,40
2005-01-12,19:56:00,38
2005-01-12,20:56:00,37
2005-01-12,21:56:00,34
2005-01-12,22:56:00,33
2005-01-12,23:56:00,32
2005-01-13,00:56:00,30
2005-01-13,01:56:00,30
2005-01-13,02:56:00,30
2005-01-13,03:56:00,28
2005-01-13,04:56:00,29
2005-01-13,05:56:00,26
2005-01-13,06:56:00,24
2005-01-13,07:56:00,28
2005-01-13,08:56:00,33
2005-01-13,09:56:00,37
2005-01-13,10:56:00,43
2005-01-13,11:56:00,47
2005-01-13,12:56:00,50
2005-01-13,13:56:00,51
2005-01-13,14:56:00,54
2005-01-13,15:56:00,53
2005-01-13,16:56:00,53
2005-01-13,17:56:00,49
2005-01-13,18:56:00,42
2005-01-13,19:56:00,40
2005-01-13,20:56:00,38
2005-01-13,21:56:00,38
2005-01-13,22:56:00,36
2005-01-13,23:56:00,37
2005-01-14,00:56:00,35
2005-01-14,01:56:00,35
2005-01-14,02:56:00,35
2005-01-14,03:56:00,37
2005-01-14,04:56:00,36
2005-01-14,05:56:00,34
2005-01-14,06:56:00,33
2005-01-14,07:56:00,34
2005-01-14,08:56:00,41
2005-01-14,09:56:00,42
2005-01-14,10:56:00,47
2005-01-14,11:56:00,48
2005-01-14,12:56:00,52
2005-01-14,13:56:00,54
2005-01-14,14:56:00,56
2005-01-14,15:56:00,56
2005-01-14,16:56:00,54
2005-01-14,17:56:00,52
2005-01-14,18:56:00,47
2005-01-14,19:56:00,45
2005-01-14,20:56:00,45
2005-01-14,21:56:00,40
2005-01-14,22:56:00,39
2005-01-14,23:56:00,37
2005-01-15,00:56:00,34
2005-01-15,01:56:00,34
2005-01-15,02:56:00,32
2005-01-15,03:56:00,31
2005-01-15,04:56:00,30
2005-01-15,05:56:00,27
2005-01-15,06:56:00,28
2005-01-15,07:56:00,27
2005-01-15,08:56:00,34
2005-01-15,09:56:00,43
2005-01-15,10:56:00,50
2005-01-15,11:56:00,57
2005-01-15,12:56:00,60
2005-01-15,13:56:00,62
2005-01-15,14:56:00,67
2005-01-15,15:56:00,66
2005-01-15,16:56:00,65
2005-01-15,17:56:00,57
2005-01-15,18:56:00,48
2005-01-15,19:56:00,47
2005-01-15,20:56:00,41
2005-01-15,21:56:00,39
2005-01-15,22:56:00,39
2005-01-15,23:56:00,40
2005-01-16,00:56:00,42
2005-01-16,01:56:00,33
2005-01-16,02:56:00,30
2005-01-16,03:56:00,30
2005-01-16,04:56:00,30
2005-01-16,05:56:00,28
2005-01-16,06:56:00,28
2005-01-16,07:56:00,29
2005-01-16,08:56:00,45
2005-01-16,09:56:00,52
2005-01-16,10:56:00,57
2005-01-16,11:56:00,60
2005-01-16,12:56:00,67
2005-01-16,13:56:00,67
2005-01-16,14:56:00,69
2005-01-16,15:56:00,68
2005-01-16,16:56:00,66
2005-01-16,17:56:00,59
2005-01-16,18:56:00,53
2005-01-16,19:56:00,56
2005-01-16,20:56:00,46
2005-01-16,21:56:00,45
2005-01-16,22:56:00,42
2005-01-16,23:56:00,42
2005-01-17,00:56:00,39
2005-01-17,01:56:00,37
2005-01-17,02:56:00,37
2005-01-17,03:56:00,33
2005-01-17,04:56:00,32
2005-01-17,05:56:00,30
2005-01-17,06:56:00,31
2005-01-17,07:56:00,33
