DAY,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,AVG
01-01,66.0,70.0,55.0,55.0,69.0,59.0,43.0,75.0,45.0,67.0,53.0,56.0,54.0,72.0,60.0
01-02,54.0,75.0,56.0,57.0,69.0,62.0,54.0,72.0,53.0,66.0,45.0,56.0,55.0,70.0,60.0
01-03,58.0,67.0,57.0,59.0,64.0,65.0,61.0,71.0,41.0,68.0,51.0,60.0,61.0,67.0,61.0
01-04,59.0,71.0,65.0,65.0,76.0,63.0,57.0,70.0,45.0,66.0,61.0,59.0,68.0,62.0,63.0
01-05,47.0,66.0,61.0,69.0,75.0,64.0,54.0,70.0,53.0,59.0,66.0,54.0,68.0,71.0,63.0
01-06,52.0,70.0,52.0,59.0,71.0,68.0,62.0,72.0,56.0,60.0,70.0,55.0,62.0,71.0,63.0
01-07,63.0,74.0,58.0,57.0,61.0,64.0,68.0,72.0,58.0,62.0,65.0,51.0,65.0,69.0,63.0
01-08,67.0,72.0,68.0,60.0,67.0,55.0,56.0,59.0,62.0,68.0,48.0,45.0,75.0,71.0,62.0
01-09,65.0,66.0,67.0,63.0,70.0,59.0,60.0,58.0,60.0,61.0,60.0,47.0,77.0,70.0,63.0
01-10,75.0,65.0,65.0,65.0,56.0,59.0,61.0,65.0,65.0,65.0,58.0,47.0,72.0,56.0,62.0
01-11,71.0,67.0,65.0,66.0,61.0,65.0,63.0,68.0,51.0,69.0,63.0,50.0,72.0,60.0,64.0
01-12,51.0,69.0,57.0,63.0,68.0,67.0,60.0,62.0,41.0,71.0,63.0,57.0,69.0,70.0,62.0
01-13,54.0,70.0,59.0,61.0,65.0,63.0,65.0,63.0,42.0,65.0,63.0,59.0,69.0,68.0,62.0
01-14,56.0,72.0,45.0,57.0,66.0,58.0,64.0,65.0,41.0,66.0,57.0,64.0,66.0,70.0,60.0
01-15,67.0,65.0,52.0,57.0,70.0,62.0,65.0,71.0,40.0,67.0,59.0,63.0,47.0,70.0,61.0
01-16,69.0,47.0,45.0,61.0,70.0,62.0,70.0,67.0,55.0,69.0,63.0,58.0,53.0,53.0,60.0
01-17,68.0,56.0,50.0,51.0,72.0,63.0,75.0,67.0,62.0,67.0,67.0,67.0,57.0,58.0,63.0
01-18,69.0,67.0,52.0,55.0,72.0,66.0,72.0,70.0,64.0,69.0,72.0,65.0,58.0,63.0,65.0
01-19,70.0,64.0,50.0,55.0,73.0,64.0,74.0,75.0,69.0,68.0,74.0,67.0,55.0,70.0,66.0
01-20,64.0,54.0,47.0,61.0,73.0,57.0,66.0,73.0,70.0,71.0,72.0,70.0,53.0,66.0,64.0
01-21,59.0,59.0,49.0,61.0,73.0,58.0,67.0,72.0,70.0,71.0,67.0,62.0,50.0,51.0,62.0
01-22,62.0,61.0,35.0,63.0,59.0,52.0,70.0,65.0,72.0,72.0,51.0,68.0,57.0,55.0,60.0
01-23,61.0,60.0,44.0,59.0,65.0,48.0,61.0,71.0,72.0,68.0,57.0,71.0,66.0,58.0,62.0
01-24,62.0,64.0,51.0,57.0,68.0,50.0,64.0,59.0,69.0,56.0,63.0,67.0,50.0,63.0,60.0
01-25,65.0,70.0,46.0,61.0,74.0,59.0,59.0,64.0,73.0,68.0,68.0,61.0,48.0,66.0,63.0
01-26,58.0,62.0,51.0,62.0,66.0,66.0,61.0,73.0,65.0,69.0,63.0,57.0,54.0,67.0,62.0
01-27,60.0,67.0,59.0,61.0,52.0,56.0,62.0,74.0,61.0,66.0,72.0,59.0,50.0,66.0,62.0
01-28,61.0,59.0,63.0,61.0,61.0,50.0,64.0,68.0,54.0,66.0,73.0,66.0,57.0,68.0,62.0
01-29,62.0,65.0,64.0,60.0,64.0,54.0,65.0,72.0,46.0,69.0,63.0,72.0,63.0,70.0,64.0
01-30,52.0,70.0,53.0,59.0,64.0,57.0,65.0,76.0,50.0,75.0,52.0,73.0,66.0,72.0,63.0
01-31,57.0,72.0,49.0,53.0,68.0,61.0,54.0,72.0,57.0,68.0,55.0,70.0,71.0,74.0,63.0
02-01,53.0,64.0,49.0,69.0,69.0,60.0,54.0,71.0,65.0,61.0,61.0,57.0,69.0,73.0,62.0
02-02,50.0,71.0,51.0,67.0,67.0,64.0,36.0,71.0,71.0,56.0,67.0,47.0,70.0,74.0,62.0
02-03,56.0,70.0,60.0,66.0,73.0,48.0,25.0,65.0,62.0,59.0,71.0,48.0,74.0,73.0,61.0
02-04,48.0,73.0,68.0,54.0,72.0,58.0,49.0,67.0,65.0,54.0,73.0,56.0,75.0,73.0,63.0
02-05,54.0,76.0,70.0,48.0,77.0,63.0,64.0,67.0,67.0,60.0,75.0,61.0,73.0,75.0,66.0
02-06,52.0,63.0,72.0,58.0,76.0,68.0,60.0,74.0,66.0,59.0,78.0,65.0,69.0,74.0,67.0
