Date,Temp
2005-01-01,36
2005-01-02,37
2005-01-03,34
2005-01-04,34
2005-01-05,25
2005-01-06,25
2005-01-07,28
2005-01-08,34
2005-01-09,40
2005-01-10,42
2005-01-11,37
2005-01-12,34
2005-01-13,46
2005-01-14,48
2005-01-15,50
2005-01-16,48
2005-01-17,46
2005-01-18,50
2005-01-19,52
2005-01-20,50
2005-01-21,53
2005-01-22,53
2005-01-23,49
2005-01-24,43
2005-01-25,46
2005-01-26,39
2005-01-27,36
2005-01-28,42
2005-01-29,31
2005-01-30,38
2005-01-31,34
2005-02-01,34
2005-02-02,34
2005-02-03,37
2005-02-04,41
2005-02-05,45
2005-02-06,36
2005-02-07,34
2005-02-08,36
2005-02-09,38
2005-02-10,39
2005-02-11,41
2005-02-12,38
2005-02-13,46
2005-02-14,47
2005-02-15,46
2005-02-16,50
2005-02-17,49
2005-02-18,42
2005-02-19,37
2005-02-20,36
2005-02-21,40
2005-02-22,39
2005-02-23,39
2005-02-24,40
2005-02-25,39
2005-02-26,37
2005-02-27,45
2005-02-28,47
2005-03-01,51
2005-03-02,48
2005-03-03,46
2005-03-04,48
2005-03-05,42
2005-03-06,45
2005-03-07,55
2005-03-08,60
2005-03-09,62
2005-03-10,62
2005-03-11,60
2005-03-12,62
2005-03-13,57
2005-03-14,40
2005-03-15,34
2005-03-16,45
2005-03-17,46
2005-03-18,43
2005-03-19,36
2005-03-20,41
2005-03-21,48
2005-03-22,48
2005-03-23,42
2005-03-24,37
2005-03-25,36
2005-03-26,45
2005-03-27,55
2005-03-28,48
2005-03-29,46
2005-03-30,44
2005-03-31,42
2005-04-01,54
2005-04-02,62
2005-04-03,59
2005-04-04,48
2005-04-05,57
2005-04-06,62
2005-04-07,66
2005-04-08,55
2005-04-09,36
2005-04-10,49
2005-04-11,58
2005-04-12,63
2005-04-13,64
2005-04-14,66
2005-04-15,65
2005-04-16,65
2005-04-17,64
2005-04-18,61
2005-04-19,54
2005-04-20,53
2005-04-21,62
2005-04-22,64
2005-04-23,64
2005-04-24,39
2005-04-25,45
2005-04-26,56
2005-04-27,54
2005-04-28,46
2005-04-29,49
2005-04-30,56
2005-05-01,59
2005-05-02,59
2005-05-03,60
2005-05-04,66
2005-05-05,64
2005-05-06,48
2005-05-07,53
2005-05-08,60
2005-05-09,61
2005-05-10,54
2005-05-11,55
2005-05-12,62
2005-05-13,67
2005-05-14,68
2005-05-15,72
2005-05-16,70
2005-05-17,64
2005-05-18,70
2005-05-19,78
2005-05-20,79
2005-05-21,82
2005-05-22,84
2005-05-23,82
2005-05-24,79
2005-05-25,79
2005-05-26,80
2005-05-27,77
2005-05-28,72
2005-05-29,71
2005-05-30,68
2005-05-31,73
2005-06-01,75
2005-06-02,69
2005-06-03,67
2005-06-04,69
2005-06-05,68
2005-06-06,68
2005-06-07,68
2005-06-08,69
2005-06-09,66
2005-06-10,66
2005-06-11,64
2005-06-12,70
2005-06-13,78
2005-06-14,81
2005-06-15,78
2005-06-16,77
2005-06-17,73
2005-06-18,75
2005-06-19,82
2005-06-20,87
2005-06-21,86
2005-06-22,83
2005-06-23,78
2005-06-24,76
2005-06-25,78
2005-06-26,77
2005-06-27,78
2005-06-28,79
2005-06-29,82
2005-06-30,85
2005-07-01,85
2005-07-02,84
2005-07-03,82
2005-07-04,84
2005-07-05,84
2005-07-06,84
2005-07-07,83
2005-07-08,82
2005-07-09,83
2005-07-10,82
2005-07-11,84
2005-07-12,92
2005-07-13,91
2005-07-14,90
2005-07-15,90
2005-07-16,86
2005-07-17,88
2005-07-18,92
2005-07-19,88
2005-07-20,86
2005-07-21,87
2005-07-22,80
2005-07-23,79
2005-07-24,76
2005-07-25,77
2005-07-26,73
2005-07-27,79
2005-07-28,84
2005-07-29,81
2005-07-30,79
2005-07-31,76
2005-08-01,74
2005-08-02,78
2005-08-03,75
2005-08-04,74
2005-08-05,73
2005-08-06,70
2005-08-07,73
2005-08-08,72
2005-08-09,74
2005-08-10,70
2005-08-11,70
2005-08-12,73
2005-08-13,72
2005-08-14,73
2005-08-15,71
2005-08-16,73
2005-08-17,75
2005-08-18,73
2005-08-19,75
2005-08-20,76
2005-08-21,79
2005-08-22,79
2005-08-23,75
2005-08-24,70
2005-08-25,76
2005-08-26,79
2005-08-27,82
2005-08-28,82
2005-08-29,83
2005-08-30,80
2005-08-31,78
2005-09-01,77
2005-09-02,74
2005-09-03,72
2005-09-04,70
2005-09-05,74
2005-09-06,76
2005-09-07,76
2005-09-08,71
2005-09-09,72
2005-09-10,67
2005-09-11,67
2005-09-12,68
2005-09-13,67
2005-09-14,66
2005-09-15,70
2005-09-16,71
2005-09-17,71
2005-09-18,72
2005-09-19,75
2005-09-20,78
2005-09-21,75
2005-09-22,73
2005-09-23,73
2005-09-24,71
2005-09-25,74
2005-09-26,77
2005-09-27,72
2005-09-28,71
2005-09-29,70
2005-09-30,75
2005-10-01,72
2005-10-02,70
2005-10-03,70
2005-10-04,67
2005-10-05,64
2005-10-06,71
2005-10-07,71
2005-10-08,68
2005-10-09,58
2005-10-10,54
2005-10-11,60
2005-10-12,60
2005-10-13,64
2005-10-14,65
2005-10-15,61
2005-10-16,61
2005-10-17,64
2005-10-18,52
2005-10-19,55
2005-10-20,59
2005-10-21,61
2005-10-22,63
2005-10-23,60
2005-10-24,64
2005-10-25,59
2005-10-26,59
2005-10-27,56
2005-10-28,53
2005-10-29,56
2005-10-30,58
2005-10-31,55
2005-11-01,65
2005-11-02,60
2005-11-03,57
2005-11-04,57
2005-11-05,59
2005-11-06,59
2005-11-07,59
2005-11-08,61
2005-11-09,65
2005-11-10,59
2005-11-11,44
2005-11-12,54
2005-11-13,59
2005-11-14,60
2005-11-15,45
2005-11-16,51
2005-11-17,56
2005-11-18,49
2005-11-19,50
2005-11-20,54
2005-11-21,56
2005-11-22,54
2005-11-23,57
2005-11-24,58
2005-11-25,57
2005-11-26,45
2005-11-27,31
2005-11-28,40
2005-11-29,53
2005-11-30,52
2005-12-01,53
2005-12-02,43
2005-12-03,46
2005-12-04,34
2005-12-05,40
2005-12-06,46
2005-12-07,40
2005-12-08,34
2005-12-09,50
2005-12-10,50
2005-12-11,50
2005-12-12,45
2005-12-13,46
2005-12-14,40
2005-12-15,31
2005-12-16,39
2005-12-17,36
2005-12-18,39
2005-12-19,54
2005-12-20,52
2005-12-21,54
2005-12-22,59
2005-12-23,57
2005-12-24,54
2005-12-25,56
2005-12-26,49
2005-12-27,49
2005-12-28,59
2005-12-29,50
2005-12-30,51
2005-12-31,45
2006-01-01,46
2006-01-02,49
2006-01-03,46
2006-01-04,53
2006-01-05,48
2006-01-06,54
2006-01-07,51
2006-01-08,52
2006-01-09,38
2006-01-10,51
2006-01-11,51
2006-01-12,51
