DAY,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,AVG
01-01,36.0,46.0,39.0,28.0,52.0,41.0,28.0,50.0,28.0,48.0,24.0,31.0,34.0,56.0,39.0
01-02,37.0,49.0,44.0,36.0,44.0,52.0,32.0,50.0,31.0,52.0,26.0,39.0,31.0,46.0,41.0
01-03,34.0,46.0,53.0,44.0,34.0,40.0,34.0,57.0,25.0,51.0,46.0,45.0,33.0,53.0,42.0
01-04,34.0,53.0,46.0,41.0,30.0,40.0,38.0,52.0,36.0,50.0,51.0,32.0,39.0,59.0,43.0
01-05,25.0,48.0,34.0,38.0,33.0,50.0,42.0,56.0,44.0,38.0,52.0,34.0,38.0,58.0,42.0
01-06,25.0,54.0,43.0,36.0,39.0,52.0,41.0,58.0,39.0,41.0,49.0,32.0,35.0,56.0,43.0
01-07,28.0,51.0,33.0,34.0,51.0,44.0,57.0,47.0,36.0,50.0,49.0,30.0,40.0,47.0,43.0
01-08,34.0,52.0,47.0,37.0,53.0,38.0,,37.0,45.0,50.0,54.0,29.0,51.0,50.0,44.0
01-09,40.0,38.0,54.0,40.0,43.0,47.0,,47.0,47.0,47.0,49.0,32.0,44.0,51.0,45.0
01-10,42.0,51.0,46.0,42.0,37.0,39.0,37.0,55.0,37.0,50.0,40.0,33.0,43.0,36.0,42.0
01-11,37.0,51.0,44.0,46.0,46.0,41.0,33.0,49.0,23.0,52.0,42.0,34.0,41.0,49.0,42.0
01-12,34.0,51.0,34.0,40.0,47.0,48.0,38.0,38.0,20.0,48.0,43.0,40.0,36.0,53.0,41.0
01-13,46.0,49.0,19.0,35.0,51.0,43.0,47.0,45.0,21.0,51.0,37.0,49.0,37.0,51.0,42.0
01-14,48.0,50.0,22.0,36.0,47.0,40.0,41.0,51.0,15.0,50.0,37.0,44.0,36.0,51.0,41.0
01-15,50.0,38.0,19.0,44.0,48.0,44.0,47.0,42.0,26.0,58.0,44.0,30.0,38.0,57.0,42.0
01-16,48.0,35.0,22.0,30.0,46.0,44.0,54.0,35.0,36.0,50.0,54.0,45.0,39.0,46.0,42.0
01-17,46.0,48.0,32.0,29.0,45.0,40.0,58.0,38.0,36.0,52.0,49.0,51.0,37.0,49.0,44.0
01-18,50.0,46.0,31.0,31.0,45.0,34.0,56.0,44.0,41.0,53.0,60.0,42.0,43.0,56.0,45.0
01-19,52.0,32.0,30.0,38.0,45.0,34.0,49.0,54.0,42.0,55.0,56.0,44.0,32.0,51.0,44.0
01-20,50.0,35.0,29.0,39.0,47.0,32.0,37.0,54.0,44.0,54.0,50.0,47.0,30.0,40.0,42.0
01-21,53.0,41.0,25.0,34.0,51.0,38.0,49.0,39.0,44.0,49.0,39.0,40.0,30.0,30.0,40.0
