Date,Temp
2011-01-01,28
2011-01-02,37
2011-01-03,37
2011-01-04,41
2011-01-05,50
2011-01-06,52
2011-01-07,54
2011-01-08,46
2011-01-09,45
2011-01-10,45
2011-01-11,48
2011-01-12,54
2011-01-13,57
2011-01-14,55
2011-01-15,59
2011-01-16,57
2011-01-17,64
2011-01-18,64
2011-01-19,57
2011-01-20,52
2011-01-21,59
2011-01-22,57
2011-01-23,50
2011-01-24,52
2011-01-25,50
2011-01-26,54
2011-01-27,57
2011-01-28,55
2011-01-29,55
2011-01-30,52
2011-01-31,43
2011-02-01,39
2011-02-02,21
2011-02-03,34
2011-02-04,52
2011-02-05,57
2011-02-06,54
2011-02-07,54
2011-02-08,50
2011-02-09,32
2011-02-10,52
2011-02-11,57
2011-02-12,61
2011-02-13,64
2011-02-14,63
2011-02-15,63
2011-02-16,55
2011-02-17,54
2011-02-18,52
2011-02-19,46
2011-02-20,34
2011-02-21,43
2011-02-22,48
2011-02-23,48
2011-02-24,43
2011-02-25,50
2011-02-26,50
2011-02-27,37
2011-02-28,54
2011-03-01,57
2011-03-02,63
2011-03-03,61
2011-03-04,57
2011-03-05,61
2011-03-06,61
2011-03-07,50
2011-03-08,54
2011-03-09,66
2011-03-10,70
2011-03-11,68
2011-03-12,66
2011-03-13,68
2011-03-14,68
2011-03-15,70
2011-03-16,70
2011-03-17,70
2011-03-18,66
2011-03-19,61
2011-03-20,57
2011-03-21,52
2011-03-22,46
2011-03-23,55
2011-03-24,54
2011-03-25,55
2011-03-26,55
2011-03-27,61
2011-03-28,63
2011-03-29,66
2011-03-30,70
2011-03-31,79
2011-04-01,81
2011-04-02,75
2011-04-03,64
2011-04-04,68
2011-04-05,72
2011-04-06,64
2011-04-07,59
2011-04-08,54
2011-04-09,43
2011-04-10,48
2011-04-11,66
2011-04-12,64
2011-04-13,63
2011-04-14,63
2011-04-15,70
2011-04-16,75
2011-04-17,75
2011-04-18,73
2011-04-19,70
2011-04-20,72
2011-04-21,70
2011-04-22,70
2011-04-23,66
2011-04-24,64
2011-04-25,66
2011-04-26,68
2011-04-27,70
2011-04-28,73
2011-04-29,72
2011-04-30,63
2011-05-01,57
2011-05-02,64
2011-05-03,73
2011-05-04,79
2011-05-05,81
2011-05-06,81
2011-05-07,79
2011-05-08,73
2011-05-09,61
2011-05-10,55
2011-05-11,64
2011-05-12,75
2011-05-13,81
2011-05-14,75
2011-05-15,75
2011-05-16,70
2011-05-17,63
2011-05-18,50
2011-05-19,54
2011-05-20,64
2011-05-21,75
2011-05-22,73
2011-05-23,72
2011-05-24,70
2011-05-25,79
2011-05-26,79
2011-05-27,82
2011-05-28,81
2011-05-29,72
2011-05-30,70
2011-05-31,81
2011-06-01,81
2011-06-02,77
2011-06-03,79
2011-06-04,84
2011-06-05,88
2011-06-06,81
2011-06-07,81
2011-06-08,79
2011-06-09,82
2011-06-10,82
2011-06-11,82
2011-06-12,82
2011-06-13,82
2011-06-14,90
2011-06-15,90
2011-06-16,86
2011-06-17,84
2011-06-18,86
2011-06-19,81
2011-06-20,84
2011-06-21,91
2011-06-22,93
2011-06-24,91
2011-06-25,91
2011-06-26,93
2011-06-27,97
2011-06-28,97
2011-06-29,90
2011-06-30,88
2011-07-01,95
2011-07-02,97
2011-07-03,93
2011-07-04,91
2011-07-05,88
2011-07-06,88
2011-07-07,90
2011-07-08,90
2011-07-09,90
2011-07-10,84
2011-07-11,82
2011-07-12,82
2011-07-13,82
2011-07-14,82
2011-07-15,84
2011-07-16,91
2011-07-17,93
2011-07-18,88
2011-07-19,88
2011-07-20,90
2011-07-21,90
2011-07-22,88
2011-07-23,90
2011-07-24,88
2011-07-25,84
2011-07-26,82
2011-08-04,90
2011-08-05,91
2011-08-06,91
2011-08-07,90
2011-08-08,91
2011-08-09,90
2011-08-10,88
2011-08-11,88
2011-08-12,90
2011-08-13,88
2011-08-14,88
2011-08-15,90
2011-08-16,91
2011-08-17,93
2011-08-18,90
2011-08-19,84
2011-08-20,86
2011-08-21,90
2011-08-22,91
2011-08-23,95
2011-08-24,95
2011-08-25,91
2011-08-26,93
2011-08-27,93
2011-08-28,93
2011-08-29,93
2011-08-30,93
2011-08-31,93
2011-09-01,91
2011-09-02,90
2011-09-03,93
2011-09-04,91
2011-09-05,86
2011-09-06,88
2011-09-07,88
2011-09-08,86
2011-09-09,75
2011-09-10,81
2011-09-11,77
2011-09-12,81
2011-09-13,81
2011-09-14,75
2011-09-15,77
2011-09-16,75
2011-09-17,77
2011-09-18,82
2011-09-19,84
2011-09-20,86
2011-09-21,86
2011-09-22,88
2011-09-23,88
2011-09-24,86
2011-09-25,84
2011-09-26,81
2011-09-27,84
2011-09-28,88
2011-09-29,88
2011-09-30,82
2011-10-01,81
2011-10-02,81
2011-10-03,79
2011-10-04,73
2011-10-05,63
2011-10-06,55
2011-10-07,54
2011-10-08,61
2011-10-09,64
2011-10-10,70
2011-10-11,75
2011-10-12,81
2011-10-13,82
2011-10-14,84
2011-10-15,84
2011-10-16,81
2011-10-17,81
2011-10-18,81
2011-10-19,75
2011-10-20,75
2011-10-21,73
2011-10-22,79
2011-10-23,79
2011-10-24,75
2011-10-25,72
2011-10-26,63
2011-10-27,61
2011-10-28,70
2011-10-29,70
2011-10-30,73
2011-10-31,72
2011-11-01,70
2011-11-02,61
2011-11-03,63
2011-11-04,63
2011-11-05,45
2011-11-06,43
2011-11-07,39
2011-11-08,46
2011-11-09,55
2011-11-10,57
2011-11-11,52
2011-11-12,57
2011-11-13,50
2011-11-14,54
2011-11-15,54
2011-11-16,57
2011-11-17,59
2011-11-18,57
2011-11-19,55
2011-11-20,54
2011-11-21,50
2011-11-22,59
2011-11-23,63
2011-11-24,55
2011-11-25,55
2011-11-26,57
2011-11-27,59
2011-11-28,68
2011-11-29,70
2011-11-30,59
2011-12-01,45
2011-12-02,39
2011-12-03,34
2011-12-04,36
2011-12-05,34
2011-12-06,37
2011-12-07,48
2011-12-08,46
2011-12-09,55
2011-12-10,54
2011-12-11,50
2011-12-12,39
2011-12-13,36
2011-12-14,37
2011-12-15,45
2011-12-16,52
2011-12-17,54
2011-12-18,45
2011-12-19,36
2011-12-20,46
2011-12-21,45
2011-12-22,36
2011-12-23,39
2011-12-24,48
2011-12-25,54
2011-12-26,52
2011-12-27,54
2011-12-28,63
2011-12-29,63
2011-12-30,64
2011-12-31,64
2012-01-01,66
2012-01-02,63
2012-01-03,59
2012-01-04,64
2012-01-05,59
2012-01-06,61
2012-01-07,54
2012-01-08,45
2012-01-09,50
2012-01-10,55
2012-01-11,55
2012-01-12,52
2012-01-13,57
2012-01-14,57
2012-01-15,48
2012-01-16,43
2012-01-17,48
2012-01-18,52
2012-01-19,57
2012-01-20,57
2012-01-21,48
2012-01-22,43
2012-01-23,46
2012-01-24,46
2012-01-25,57
2012-01-26,63
2012-01-27,57
2012-01-28,59
2012-01-29,61
2012-01-30,57
2012-01-31,55
2012-02-01,55
2012-02-02,48
2012-02-03,46
2012-02-04,52
2012-02-05,52
2012-02-06,52
2012-02-07,55
2012-02-08,55
2012-02-09,61
2012-02-10,61
2012-02-11,61
2012-02-12,52
2012-02-13,46
2012-02-14,39
2012-02-15,43
2012-02-16,52
2012-02-17,55
2012-02-18,54
2012-02-19,48
2012-02-20,52
2012-02-21,57
2012-02-22,61
2012-02-23,64
2012-02-24,63
2012-02-25,61
2012-02-26,61
2012-02-27,59
2012-02-28,43
2012-02-29,52
2012-03-01,52
2012-03-02,45
2012-03-03,57
2012-03-04,68
2012-03-05,66
2012-03-06,64
2012-03-07,48
2012-03-08,57
2012-03-09,55
2012-03-10,55
2012-03-11,57
2012-03-12,64
2012-03-13,64
2012-03-14,64
2012-03-15,68
2012-03-16,68
2012-03-17,61
2012-03-18,48
2012-03-19,32
2012-03-20,41
2012-03-21,63
2012-03-22,66
2012-03-23,66
2012-03-24,68
2012-03-25,64
2012-03-26,61
2012-03-27,66
2012-03-28,68
2012-03-29,68
2012-03-30,72
2012-03-31,73
2012-04-01,57
2012-04-02,54
2012-04-03,63
2012-04-04,66
2012-04-05,70
2012-04-06,64
2012-04-07,72
2012-04-08,73
2012-04-09,75
2012-04-10,75
2012-04-11,61
2012-04-12,57
2012-04-13,57
2012-04-14,48
2012-04-15,55
2012-04-16,68
2012-04-17,72
2012-04-18,75
2012-04-19,75
2012-04-20,81
2012-04-21,84
2012-04-22,86
2012-04-23,84
2012-04-24,79
2012-04-25,79
2012-04-26,64
2012-04-27,70
2012-04-28,73
2012-04-29,73
2012-04-30,75
2012-05-01,73
2012-05-02,73
2012-05-03,73
2012-05-04,77
2012-05-05,75
2012-05-06,73
2012-05-07,72
2012-05-08,73
2012-05-09,73
2012-05-10,79
2012-05-11,79
2012-05-12,81
2012-05-13,84
2012-05-14,82
2012-05-15,84
2012-05-16,84
2012-05-17,82
2012-05-18,75
2012-05-19,81
2012-05-20,88
2012-05-21,90
2012-05-22,88
2012-05-23,84
2012-05-24,81
2012-05-25,75
2012-05-26,64
2012-05-27,72
2012-05-28,79
2012-05-29,82
2012-05-30,84
2012-05-31,91
2012-06-01,93
2012-06-02,90
2012-06-03,86
2012-06-04,84
2012-06-05,82
2012-06-06,86
2012-06-07,86
2012-06-08,88
2012-06-09,84
2012-06-10,82
2012-06-11,88
2012-06-12,90
2012-06-13,88
2012-06-14,88
2012-06-15,84
2012-06-16,90
2012-06-17,93
2012-06-18,93
2012-06-19,90
2012-06-20,95
2012-06-21,95
2012-06-22,93
2012-06-23,93
2012-06-24,90
2012-06-25,90
2012-06-26,91
2012-06-27,95
2012-06-28,95
2012-06-29,93
2012-06-30,93
2012-07-01,93
2012-07-02,93
2012-07-03,86
2012-07-04,75
