DAY,2011,2012,2013,2014,2015,2016,2017,2018,AVG
01-01,28.0,66.0,36.0,61.0,28.0,50.0,41.0,63.0,47.0
01-02,37.0,63.0,46.0,59.0,34.0,52.0,39.0,61.0,49.0
01-03,37.0,59.0,39.0,57.0,37.0,54.0,46.0,57.0,48.0
01-04,41.0,64.0,43.0,54.0,50.0,45.0,50.0,63.0,51.0
01-05,50.0,59.0,48.0,52.0,61.0,41.0,48.0,64.0,53.0
01-06,52.0,61.0,48.0,57.0,64.0,39.0,46.0,61.0,54.0
01-07,54.0,54.0,52.0,52.0,64.0,36.0,46.0,61.0,52.0
01-08,46.0,45.0,55.0,54.0,55.0,36.0,57.0,61.0,51.0
01-09,45.0,50.0,61.0,52.0,55.0,37.0,57.0,59.0,52.0
01-10,45.0,55.0,48.0,55.0,48.0,39.0,52.0,45.0,48.0
01-11,48.0,55.0,32.0,59.0,50.0,43.0,54.0,57.0,50.0
01-12,54.0,52.0,30.0,57.0,48.0,54.0,54.0,61.0,51.0
01-13,57.0,57.0,32.0,55.0,45.0,54.0,54.0,61.0,52.0
01-14,55.0,57.0,28.0,61.0,48.0,50.0,50.0,64.0,52.0
01-15,59.0,48.0,37.0,63.0,57.0,39.0,46.0,61.0,51.0
01-16,57.0,43.0,52.0,63.0,57.0,48.0,45.0,54.0,52.0
01-17,64.0,48.0,55.0,63.0,61.0,55.0,50.0,59.0,57.0
01-18,64.0,52.0,57.0,64.0,63.0,52.0,50.0,59.0,58.0
01-19,57.0,57.0,61.0,61.0,64.0,54.0,39.0,59.0,56.0
01-20,52.0,57.0,61.0,64.0,61.0,54.0,39.0,48.0,54.0
01-21,59.0,48.0,63.0,63.0,50.0,55.0,37.0,37.0,52.0
01-22,57.0,43.0,64.0,61.0,43.0,59.0,39.0,46.0,52.0
01-23,50.0,46.0,61.0,59.0,50.0,57.0,39.0,50.0,52.0
01-24,52.0,46.0,52.0,55.0,61.0,50.0,36.0,57.0,51.0
01-25,50.0,57.0,61.0,61.0,68.0,50.0,37.0,55.0,55.0
01-26,54.0,63.0,48.0,59.0,57.0,48.0,41.0,54.0,53.0
01-27,57.0,57.0,45.0,57.0,57.0,57.0,36.0,59.0,53.0
01-28,55.0,59.0,43.0,59.0,61.0,61.0,52.0,61.0,56.0
01-29,55.0,61.0,34.0,59.0,63.0,61.0,57.0,64.0,57.0
01-30,52.0,57.0,45.0,61.0,46.0,57.0,61.0,64.0,55.0
