DAY,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,AVG
01-01,69.0,57.0,56.0,64.0,57.0,38.0,69.0,46.0,62.0,41.0,51.0,54.0,69.0,56.0
01-02,76.0,58.0,54.0,65.0,61.0,47.0,66.0,53.0,64.0,41.0,53.0,52.0,64.0,58.0
01-03,69.0,56.0,56.0,64.0,62.0,53.0,64.0,46.0,63.0,49.0,58.0,57.0,65.0,59.0
01-04,68.0,65.0,65.0,61.0,62.0,54.0,68.0,47.0,61.0,57.0,51.0,62.0,66.0,61.0
01-05,70.0,57.0,67.0,50.0,61.0,50.0,66.0,51.0,61.0,62.0,52.0,64.0,70.0,60.0
01-06,69.0,54.0,63.0,53.0,61.0,54.0,63.0,55.0,57.0,65.0,56.0,60.0,69.0,60.0
01-07,68.0,57.0,55.0,61.0,62.0,60.0,66.0,59.0,57.0,70.0,50.0,55.0,71.0,61.0
01-08,71.0,63.0,55.0,61.0,52.0,58.0,56.0,64.0,63.0,46.0,42.0,65.0,68.0,59.0
01-09,66.0,66.0,59.0,66.0,54.0,58.0,56.0,64.0,59.0,56.0,49.0,66.0,72.0,61.0
01-10,62.0,62.0,57.0,57.0,55.0,58.0,59.0,64.0,63.0,54.0,46.0,66.0,64.0,59.0
01-11,65.0,66.0,61.0,58.0,63.0,56.0,63.0,50.0,66.0,61.0,51.0,66.0,64.0,61.0
01-12,69.0,65.0,59.0,65.0,64.0,57.0,55.0,42.0,68.0,62.0,54.0,69.0,65.0,61.0
01-13,71.0,52.0,58.0,61.0,58.0,61.0,59.0,43.0,63.0,59.0,58.0,66.0,68.0,60.0
01-14,74.0,42.0,60.0,66.0,62.0,66.0,60.0,41.0,66.0,53.0,60.0,67.0,69.0,60.0
01-15,65.0,47.0,56.0,68.0,62.0,63.0,64.0,41.0,65.0,57.0,53.0,53.0,68.0,59.0
01-16,55.0,46.0,53.0,67.0,60.0,65.0,55.0,52.0,66.0,61.0,55.0,56.0,53.0,57.0
01-17,56.0,50.0,48.0,67.0,61.0,76.0,59.0,63.0,66.0,63.0,65.0,59.0,54.0,61.0
01-18,62.0,52.0,50.0,69.0,53.0,71.0,60.0,61.0,69.0,68.0,62.0,58.0,61.0,61.0
01-19,64.0,46.0,52.0,70.0,60.0,71.0,64.0,64.0,66.0,68.0,63.0,50.0,66.0,62.0
01-20,57.0,45.0,56.0,71.0,58.0,63.0,67.0,68.0,68.0,69.0,67.0,56.0,67.0,62.0
01-21,60.0,49.0,59.0,70.0,58.0,63.0,64.0,69.0,69.0,67.0,62.0,50.0,50.0,61.0
01-22,64.0,34.0,61.0,62.0,52.0,68.0,59.0,71.0,70.0,52.0,64.0,54.0,51.0,59.0
01-23,66.0,29.0,60.0,61.0,47.0,63.0,63.0,70.0,67.0,53.0,67.0,67.0,59.0,59.0
01-24,67.0,32.0,63.0,67.0,49.0,64.0,59.0,60.0,55.0,61.0,63.0,51.0,64.0,58.0
01-25,62.0,45.0,59.0,70.0,52.0,57.0,62.0,69.0,66.0,64.0,59.0,50.0,66.0,60.0
01-26,59.0,51.0,64.0,64.0,57.0,60.0,67.0,66.0,71.0,64.0,58.0,52.0,65.0,61.0
01-27,63.0,55.0,58.0,54.0,52.0,61.0,67.0,67.0,67.0,70.0,58.0,51.0,64.0,61.0
01-28,61.0,58.0,59.0,57.0,53.0,62.0,66.0,55.0,69.0,72.0,63.0,53.0,68.0,61.0
01-29,65.0,63.0,55.0,63.0,51.0,67.0,66.0,49.0,65.0,63.0,66.0,63.0,72.0,62.0
01-30,69.0,51.0,53.0,64.0,55.0,66.0,71.0,53.0,72.0,50.0,71.0,64.0,70.0,62.0
01-31,70.0,52.0,49.0,65.0,60.0,54.0,68.0,58.0,69.0,53.0,72.0,68.0,72.0,62.0
02-01,68.0,49.0,60.0,70.0,59.0,54.0,69.0,65.0,58.0,59.0,56.0,68.0,73.0,62.0
02-02,72.0,52.0,62.0,64.0,65.0,32.0,65.0,68.0,58.0,66.0,46.0,69.0,71.0,61.0
02-03,73.0,56.0,59.0,71.0,52.0,31.0,59.0,64.0,60.0,69.0,48.0,69.0,76.0,61.0
02-04,74.0,64.0,56.0,72.0,60.0,45.0,61.0,68.0,56.0,73.0,53.0,69.0,74.0,63.0
02-05,72.0,69.0,48.0,77.0,60.0,62.0,60.0,70.0,60.0,74.0,59.0,73.0,75.0,66.0
02-06,66.0,71.0,54.0,74.0,63.0,64.0,59.0,67.0,50.0,74.0,63.0,67.0,75.0,65.0
02-07,67.0,72.0,60.0,76.0,51.0,62.0,67.0,66.0,61.0,76.0,65.0,67.0,68.0,66.0
02-08,73.0,73.0,67.0,60.0,54.0,66.0,61.0,69.0,69.0,76.0,72.0,72.0,73.0,68.0
02-09,71.0,73.0,70.0,58.0,58.0,57.0,71.0,49.0,74.0,77.0,72.0,79.0,76.0,68.0
02-10,75.0,73.0,73.0,50.0,56.0,54.0,70.0,52.0,75.0,77.0,73.0,81.0,75.0,68.0
02-11,63.0,68.0,72.0,53.0,58.0,62.0,76.0,53.0,71.0,71.0,75.0,81.0,69.0,67.0
02-12,68.0,62.0,70.0,67.0,62.0,67.0,65.0,51.0,72.0,66.0,78.0,62.0,73.0,66.0
02-13,71.0,54.0,72.0,61.0,64.0,71.0,62.0,57.0,81.0,70.0,78.0,53.0,71.0,67.0
02-14,74.0,52.0,70.0,58.0,66.0,77.0,63.0,64.0,82.0,70.0,79.0,59.0,64.0,68.0
02-15,78.0,57.0,53.0,60.0,60.0,75.0,58.0,66.0,84.0,73.0,76.0,61.0,55.0,66.0
02-16,68.0,64.0,52.0,73.0,64.0,75.0,63.0,69.0,80.0,73.0,80.0,65.0,57.0,68.0
