Date,Temp
2010-09-22,89
2010-09-23,97
2010-09-24,102
2010-09-25,108
2010-09-26,110
2010-09-27,109
2010-09-28,102
2010-09-29,103
2010-09-30,108
2010-10-01,105
2010-10-02,90
2010-10-03,95
2010-10-04,96
2010-10-05,82
2010-10-06,82
2010-10-07,80
2010-10-08,88
2010-10-09,94
2010-10-10,95
2010-10-11,96
2010-10-12,99
2010-10-13,99
2010-10-14,102
2010-10-15,95
2010-10-16,96
2010-10-17,91
2010-10-18,87
2010-10-19,88
2010-10-20,75
2010-10-21,77
2010-10-22,77
2010-10-23,78
2010-10-24,81
2010-10-25,81
2010-10-26,80
2010-10-27,75
2010-10-28,83
2010-10-29,88
2010-10-30,81
2010-10-31,79
2010-11-01,87
2010-11-02,89
2010-11-03,92
2010-11-04,92
2010-11-05,90
2010-11-06,87
2010-11-07,83
2010-11-08,76
2010-11-09,71
2010-11-10,72
2010-11-11,73
2010-11-12,72
2010-11-13,75
2010-11-14,74
2010-11-15,81
2010-11-16,81
2010-11-17,79
2010-11-18,80
2010-11-19,79
2010-11-20,72
2010-11-21,71
2010-11-22,63
2010-11-23,65
2010-11-24,62
2010-11-25,56
2010-11-26,61
2010-11-27,66
2010-11-28,62
2010-11-29,58
2010-11-30,59
2010-12-01,66
2010-12-02,68
2010-12-03,69
2010-12-04,64
2010-12-05,69
2010-12-06,70
2010-12-07,75
2010-12-08,72
2010-12-09,70
2010-12-10,71
2010-12-11,75
2010-12-12,80
2010-12-13,75
2010-12-14,78
2010-12-15,67
2010-12-16,58
2010-12-17,62
2010-12-18,69
2010-12-19,73
2010-12-20,70
2010-12-21,67
2010-12-22,68
2010-12-23,63
2010-12-24,65
2010-12-25,65
2010-12-26,63
2010-12-27,65
2010-12-28,63
2010-12-29,59
2010-12-30,54
2010-12-31,48
2011-01-01,49
2011-01-02,49
2011-01-03,54
2011-01-04,57
2011-01-05,60
2011-01-06,62
2011-01-07,60
2011-01-08,63
2011-01-09,64
2011-01-10,56
2011-01-11,57
2011-01-12,64
2011-01-13,66
2011-01-14,73
2011-01-15,74
2011-01-16,72
2011-01-17,79
2011-01-18,78
2011-01-19,76
2011-01-20,66
2011-01-21,71
2011-01-22,73
2011-01-23,68
2011-01-24,71
2011-01-25,69
2011-01-26,71
2011-01-27,72
2011-01-28,72
2011-01-29,73
2011-01-30,69
2011-01-31,69
2011-02-01,65
