DAY,2010,2011,2012,2013,2014,AVG
01-01,,49.0,73.0,55.0,70.0,62.0
01-02,,49.0,74.0,59.0,72.0,64.0
01-03,,54.0,73.0,60.0,69.0,64.0
01-04,,57.0,75.0,59.0,71.0,66.0
01-05,,60.0,71.0,58.0,65.0,64.0
01-06,,62.0,71.0,62.0,66.0,65.0
01-07,,60.0,70.0,65.0,62.0,64.0
01-08,,63.0,65.0,71.0,66.0,66.0
01-09,,64.0,67.0,69.0,69.0,67.0
01-10,,56.0,68.0,64.0,69.0,64.0
01-11,,57.0,67.0,54.0,73.0,63.0
01-12,,64.0,66.0,51.0,74.0,64.0
01-13,,66.0,69.0,50.0,71.0,64.0
01-14,,73.0,65.0,45.0,76.0,65.0
01-15,,74.0,63.0,52.0,76.0,66.0
01-16,,72.0,69.0,62.0,78.0,70.0
01-17,,79.0,64.0,67.0,77.0,72.0
01-18,,78.0,67.0,68.0,76.0,72.0
01-19,,76.0,69.0,70.0,73.0,72.0
01-20,,66.0,72.0,71.0,74.0,71.0
01-21,,71.0,73.0,73.0,72.0,72.0
01-22,,73.0,63.0,73.0,77.0,72.0
01-23,,68.0,65.0,69.0,73.0,69.0
01-24,,71.0,66.0,66.0,70.0,68.0
01-25,,69.0,72.0,69.0,74.0,71.0
01-26,,71.0,75.0,61.0,72.0,70.0
01-27,,72.0,72.0,69.0,75.0,72.0
01-28,,72.0,70.0,59.0,77.0,70.0
01-29,,73.0,71.0,59.0,77.0,70.0
01-30,,69.0,73.0,64.0,79.0,71.0
01-31,,69.0,76.0,68.0,70.0,71.0
02-01,,65.0,74.0,69.0,62.0,68.0
02-02,,49.0,68.0,69.0,62.0,62.0
02-03,,54.0,67.0,71.0,64.0,64.0
02-04,,62.0,70.0,73.0,64.0,67.0
02-05,,74.0,71.0,74.0,67.0,72.0
02-06,,76.0,71.0,73.0,68.0,72.0
02-07,,75.0,67.0,75.0,69.0,72.0
02-08,,65.0,77.0,66.0,74.0,70.0
02-09,,66.0,80.0,60.0,78.0,71.0
02-10,,64.0,81.0,61.0,79.0,71.0
02-11,,72.0,79.0,59.0,78.0,72.0
02-12,,75.0,71.0,61.0,80.0,72.0
02-13,,74.0,67.0,68.0,83.0,73.0
02-14,,76.0,60.0,74.0,86.0,74.0
02-15,,76.0,64.0,74.0,87.0,75.0
02-16,,74.0,72.0,76.0,81.0,76.0
02-17,,68.0,71.0,76.0,86.0,75.0
02-18,,69.0,72.0,75.0,84.0,75.0
02-19,,61.0,69.0,67.0,86.0,71.0
02-20,,59.0,68.0,56.0,74.0,64.0
02-21,,63.0,74.0,57.0,77.0,68.0
02-22,,65.0,81.0,64.0,81.0,73.0
02-23,,65.0,83.0,70.0,83.0,75.0
02-24,,66.0,78.0,62.0,84.0,72.0
02-25,,64.0,82.0,65.0,81.0,73.0
02-26,,58.0,76.0,69.0,81.0,71.0
02-27,,57.0,70.0,67.0,82.0,69.0
02-28,,65.0,63.0,74.0,80.0,70.0
03-01,,70.0,73.0,80.0,67.0,72.0
03-02,,75.0,65.0,83.0,68.0,73.0
03-03,,78.0,74.0,78.0,76.0,76.0
03-04,,76.0,83.0,80.0,79.0,80.0
03-05,,76.0,78.0,77.0,83.0,78.0
03-06,,81.0,81.0,80.0,86.0,82.0
03-07,,76.0,62.0,74.0,80.0,73.0
03-08,,69.0,74.0,65.0,81.0,72.0
03-09,,81.0,81.0,66.0,83.0,78.0
03-10,,84.0,78.0,74.0,85.0,80.0
03-11,,85.0,82.0,80.0,75.0,80.0
03-12,,84.0,83.0,86.0,78.0,83.0
03-13,,85.0,83.0,90.0,81.0,85.0
03-14,,83.0,83.0,94.0,85.0,86.0
03-15,,87.0,85.0,93.0,85.0,88.0
03-16,,88.0,85.0,90.0,86.0,87.0
03-17,,82.0,74.0,90.0,92.0,84.0
03-18,,79.0,60.0,86.0,78.0,76.0
03-19,,71.0,61.0,86.0,80.0,74.0
03-20,,76.0,70.0,85.0,81.0,78.0
03-21,,71.0,80.0,89.0,85.0,81.0
03-22,,68.0,88.0,86.0,84.0,82.0
03-23,,74.0,86.0,74.0,87.0,80.0
03-24,,71.0,87.0,81.0,91.0,82.0
03-25,,72.0,84.0,86.0,90.0,83.0
03-26,,73.0,74.0,90.0,78.0,79.0
03-27,,76.0,81.0,87.0,76.0,80.0
03-28,,82.0,84.0,87.0,81.0,84.0
03-29,,84.0,86.0,90.0,87.0,87.0
03-30,,88.0,90.0,91.0,81.0,88.0
03-31,,95.0,92.0,88.0,83.0,90.0
04-01,,100.0,76.0,83.0,76.0,84.0
04-02,,96.0,74.0,86.0,68.0,81.0
04-03,,87.0,83.0,91.0,76.0,84.0
04-04,,81.0,87.0,94.0,79.0,85.0
04-05,,87.0,85.0,90.0,81.0,86.0
04-06,,85.0,78.0,89.0,83.0,84.0
04-07,,81.0,86.0,89.0,91.0,87.0
04-08,,62.0,90.0,78.0,95.0,81.0
04-09,,63.0,95.0,76.0,97.0,83.0
04-10,,72.0,96.0,80.0,100.0,87.0
04-11,,79.0,79.0,87.0,97.0,86.0
04-12,,85.0,76.0,91.0,92.0,86.0
04-13,,83.0,73.0,92.0,91.0,85.0
04-14,,80.0,63.0,90.0,86.0,80.0
04-15,,88.0,78.0,82.0,91.0,85.0
04-16,,96.0,87.0,75.0,96.0,88.0
04-17,,98.0,92.0,74.0,95.0,90.0
04-18,,91.0,96.0,75.0,89.0,88.0
04-19,,89.0,98.0,85.0,89.0,90.0
04-20,,90.0,100.0,92.0,94.0,94.0
04-21,,89.0,104.0,95.0,98.0,96.0
04-22,,88.0,107.0,96.0,93.0,96.0
04-23,,87.0,104.0,85.0,86.0,90.0
04-24,,86.0,95.0,91.0,90.0,90.0
04-25,,89.0,95.0,83.0,90.0,89.0
04-26,,85.0,85.0,94.0,73.0,84.0
04-27,,87.0,88.0,100.0,81.0,89.0
04-28,,94.0,93.0,103.0,88.0,94.0
04-29,,88.0,95.0,105.0,87.0,94.0
04-30,,77.0,96.0,101.0,89.0,91.0
05-01,,81.0,92.0,93.0,92.0,90.0
05-02,,87.0,88.0,90.0,99.0,91.0
05-03,,94.0,93.0,94.0,103.0,96.0
05-04,,99.0,95.0,98.0,101.0,98.0
