Date,Temp
2005-01-01,52
2005-01-02,49
2005-01-03,48
2005-01-04,43
2005-01-05,42
2005-01-06,44
2005-01-07,40
2005-01-08,54
2005-01-09,56
2005-01-10,58
2005-01-11,56
2005-01-12,48
2005-01-13,49
2005-01-14,52
2005-01-15,56
2005-01-16,59
2005-01-17,60
2005-01-18,60
2005-01-19,65
2005-01-20,64
2005-01-21,59
2005-01-22,64
2005-01-23,64
2005-01-24,59
2005-01-25,59
2005-01-26,50
2005-01-27,51
2005-01-28,54
2005-01-29,44
2005-01-30,51
2005-01-31,52
2005-02-01,52
2005-02-02,54
2005-02-03,57
2005-02-04,59
2005-02-05,55
2005-02-06,55
2005-02-07,52
2005-02-08,52
2005-02-09,55
2005-02-10,57
2005-02-11,49
2005-02-12,52
2005-02-13,57
2005-02-14,59
2005-02-15,59
2005-02-16,60
2005-02-17,60
2005-02-18,54
2005-02-19,56
2005-02-20,54
2005-02-21,52
2005-02-22,51
2005-02-23,50
2005-02-24,57
2005-02-25,54
2005-02-26,55
2005-02-27,58
2005-02-28,59
2005-03-01,59
2005-03-02,59
2005-03-03,58
2005-03-04,56
2005-03-05,55
2005-03-06,62
2005-03-07,65
2005-03-08,70
2005-03-09,71
2005-03-10,73
2005-03-11,73
2005-03-12,73
2005-03-13,67
2005-03-14,55
2005-03-15,55
2005-03-16,62
2005-03-17,59
2005-03-18,58
2005-03-19,56
2005-03-20,59
2005-03-21,63
2005-03-22,65
2005-03-23,55
2005-03-24,54
2005-03-25,58
2005-03-26,56
2005-03-27,64
2005-03-28,63
2005-03-29,60
2005-03-30,56
2005-03-31,58
2005-04-01,67
2005-04-02,69
2005-04-03,73
2005-04-04,61
2005-04-05,65
2005-04-06,76
2005-04-07,79
2005-04-08,64
2005-04-09,54
2005-04-10,62
2005-04-11,70
2005-04-12,76
2005-04-13,78
2005-04-14,75
2005-04-15,77
2005-04-16,80
2005-04-17,81
2005-04-18,76
2005-04-19,63
2005-04-20,66
2005-04-21,75
2005-04-22,74
2005-04-23,77
2005-04-24,65
2005-04-25,71
2005-04-26,75
2005-04-27,73
2005-04-28,62
2005-04-29,69
2005-04-30,74
2005-05-01,77
2005-05-02,79
2005-05-03,79
2005-05-04,82
2005-05-05,81
2005-05-06,65
2005-05-07,71
2005-05-08,76
2005-05-09,78
2005-05-10,67
2005-05-11,72
2005-05-12,78
2005-05-13,81
2005-05-14,86
2005-05-15,90
2005-05-16,89
2005-05-17,78
2005-05-18,85
2005-05-19,91
2005-05-20,95
2005-05-21,98
2005-05-22,99
2005-05-23,99
2005-05-24,95
2005-05-25,94
2005-05-26,97
2005-05-27,93
2005-05-28,90
2005-05-29,88
2005-05-30,84
2005-05-31,90
2005-06-01,90
2005-06-02,88
2005-06-03,83
2005-06-04,87
2005-06-05,87
2005-06-06,82
2005-06-07,81
2005-06-08,85
2005-06-09,81
2005-06-10,86
2005-06-11,86
2005-06-12,88
2005-06-13,95
2005-06-14,96
2005-06-15,97
2005-06-16,93
2005-06-17,89
2005-06-18,89
2005-06-19,97
2005-06-20,103
2005-06-21,103
2005-06-22,102
2005-06-23,99
2005-06-24,98
2005-06-25,93
2005-06-26,92
2005-06-27,96
2005-06-28,91
2005-06-29,97
2005-06-30,101
2005-07-01,102
2005-07-02,99
2005-07-03,99
2005-07-04,100
2005-07-05,98
2005-07-06,99
2005-07-07,100
2005-07-08,97
2005-07-09,98
2005-07-10,98
2005-07-11,101
2005-07-12,106
2005-07-13,110
2005-07-14,107
2005-07-15,106
2005-07-16,109
2005-07-17,112
2005-07-18,111
2005-07-19,105
2005-07-20,101
2005-07-21,103
2005-07-22,102
2005-07-23,92
2005-07-24,88
2005-07-25,95
2005-07-26,95
2005-07-27,100
2005-07-28,99
2005-07-29,100
2005-07-30,97
2005-07-31,96
2005-08-01,95
2005-08-02,95
2005-08-03,93
2005-08-04,95
2005-08-05,90
2005-08-06,95
2005-08-07,94
2005-08-08,90
2005-08-09,78
2005-08-10,81
2005-08-11,94
2005-08-12,92
2005-08-13,90
2005-08-14,90
2005-08-15,85
2005-08-16,90
2005-08-17,92
2005-08-18,91
2005-08-19,93
2005-08-20,95
2005-08-21,98
2005-08-22,98
2005-08-23,92
2005-08-24,91
2005-08-25,94
2005-08-26,97
2005-08-27,100
2005-08-28,102
2005-08-29,102
2005-08-30,97
2005-08-31,98
2005-09-01,97
2005-09-02,93
2005-09-03,94
2005-09-04,92
2005-09-05,94
2005-09-06,95
2005-09-07,96
2005-09-08,96
2005-09-09,89
2005-09-10,87
2005-09-11,85
2005-09-12,84
2005-09-13,83
2005-09-14,86
2005-09-15,87
2005-09-16,85
2005-09-17,86
2005-09-18,89
2005-09-19,93
2005-09-20,92
2005-09-21,89
2005-09-22,89
2005-09-23,89
2005-09-24,86
2005-09-25,88
2005-09-26,91
2005-09-27,88
2005-09-28,84
2005-09-29,87
2005-09-30,89
2005-10-01,89
2005-10-02,88
2005-10-03,87
2005-10-04,75
2005-10-05,76
2005-10-06,82
2005-10-07,87
2005-10-08,84
2005-10-09,74
2005-10-10,71
2005-10-11,76
2005-10-12,81
2005-10-13,84
2005-10-14,86
2005-10-15,80
2005-10-16,80
2005-10-17,69
2005-10-18,58
2005-10-19,65
2005-10-20,73
2005-10-21,79
2005-10-22,78
2005-10-23,79
2005-10-24,78
2005-10-25,75
2005-10-26,73
2005-10-27,73
2005-10-28,71
2005-10-29,71
2005-10-30,72
2005-10-31,73
2005-11-01,77
2005-11-02,77
2005-11-03,74
2005-11-04,70
2005-11-05,72
2005-11-06,71
2005-11-07,74
2005-11-08,75
2005-11-09,73
2005-11-10,72
2005-11-11,61
2005-11-12,68
2005-11-13,70
2005-11-14,73
2005-11-15,59
2005-11-16,65
2005-11-17,69
2005-11-18,66
2005-11-19,70
2005-11-20,68
2005-11-21,68
2005-11-22,65
2005-11-23,69
2005-11-24,71
2005-11-25,71
2005-11-26,61
2005-11-27,45
2005-11-28,49
2005-11-29,57
2005-11-30,61
2005-12-01,67
2005-12-02,63
2005-12-03,55
2005-12-04,48
2005-12-05,51
2005-12-06,53
2005-12-07,54
2005-12-08,52
2005-12-09,51
2005-12-10,58
2005-12-11,61
2005-12-12,58
2005-12-13,57
2005-12-14,53
2005-12-15,47
2005-12-16,52
2005-12-17,51
2005-12-18,52
2005-12-19,59
2005-12-20,61
2005-12-21,70
2005-12-22,71
2005-12-23,68
2005-12-24,69
2005-12-25,68
2005-12-26,65
2005-12-27,61
2005-12-28,67
2005-12-29,60
2005-12-30,61
2005-12-31,63
2006-01-01,57
2006-01-02,66
2006-01-03,58
2006-01-04,61
2006-01-05,65
2006-01-06,73
2006-01-07,66
2006-01-08,63
2006-01-09,56
2006-01-10,60
2006-01-11,62
2006-01-12,62
2006-01-13,67
2006-01-14,65
2006-01-15,52
2006-01-16,45
2006-01-17,57
2006-01-18,62
2006-01-19,51
2006-01-20,51
2006-01-21,55
2006-01-22,52
2006-01-23,54
2006-01-24,60
2006-01-25,57
2006-01-26,58
2006-01-27,55
2006-01-28,57
2006-01-29,61
2006-01-30,67
2006-01-31,62
2006-02-01,65
2006-02-02,65
2006-02-03,68
2006-02-04,70
2006-02-05,61
2006-02-06,60
2006-02-07,67
2006-02-08,72
2006-02-09,71
2006-02-10,68
2006-02-11,60
2006-02-12,67
2006-02-13,68
2006-02-14,68
2006-02-15,61
2006-02-16,51
2006-02-17,55
2006-02-18,50
2006-02-19,52
2006-02-20,53
2006-02-21,52
2006-02-22,59
2006-02-23,67
2006-02-24,69
2006-02-25,70
2006-02-26,71
2006-02-27,72
2006-02-28,63
2006-03-01,62
2006-03-02,64
2006-03-03,66
2006-03-04,59
2006-03-05,67
2006-03-06,67
2006-03-07,61
2006-03-08,57
2006-03-09,57
2006-03-10,49
2006-03-11,46
2006-03-12,46
2006-03-13,52
2006-03-14,61
2006-03-15,60
2006-03-16,62
2006-03-17,65
2006-03-18,54
2006-03-19,49
2006-03-20,54
2006-03-21,46
2006-03-22,59
2006-03-23,68
2006-03-24,71
2006-03-25,73
2006-03-26,67
2006-03-27,71
2006-03-28,63
2006-03-29,56
2006-03-30,62
2006-03-31,59
2006-04-01,65
2006-04-02,70
2006-04-03,78
2006-04-04,75
2006-04-05,62
2006-04-06,62
2006-04-07,71
2006-04-08,76
2006-04-09,78
2006-04-10,67
2006-04-11,70
2006-04-12,81
2006-04-13,83
2006-04-14,79
2006-04-15,68
2006-04-16,74
2006-04-17,65
2006-04-18,67
2006-04-19,74
2006-04-20,80
2006-04-21,81
2006-04-22,78
2006-04-23,64
2006-04-24,69
2006-04-25,76
2006-04-26,78
2006-04-27,66
2006-04-28,81
2006-04-29,81
2006-04-30,87
2006-05-01,88
2006-05-02,89
2006-05-03,85
2006-05-04,81
2006-05-05,76
2006-05-06,80
2006-05-07,85
2006-05-08,87
2006-05-09,86
2006-05-10,87
2006-05-11,90
2006-05-12,92
2006-05-13,93
2006-05-14,95
2006-05-15,93
2006-05-16,94
2006-05-17,93
2006-05-18,96
2006-05-19,95
2006-05-20,93
2006-05-21,92
2006-05-22,73
2006-05-23,83
2006-05-24,92
2006-05-25,94
2006-05-26,90
2006-05-27,78
2006-05-28,73
2006-05-29,81
2006-05-30,86
2006-05-31,93
2006-06-01,96
2006-06-02,100
2006-06-03,99
2006-06-04,101
2006-06-05,100
2006-06-06,96
2006-06-07,89
2006-06-08,94
2006-06-09,93
2006-06-10,92
2006-06-11,94
2006-06-12,95
2006-06-13,98
2006-06-14,87
2006-06-15,89
2006-06-16,90
2006-06-17,98
2006-06-18,100
2006-06-19,98
2006-06-20,97
2006-06-21,98
2006-06-22,99
2006-06-23,104
2006-06-24,102
2006-06-25,103
2006-06-26,98
2006-06-27,97
2006-06-28,93
2006-06-29,100
2006-06-30,99
2006-07-01,99
2006-07-02,99
2006-07-03,93
2006-07-04,91
2006-07-05,89
2006-07-06,95
2006-07-07,92
2006-07-08,96
2006-07-09,96
2006-07-10,98
2006-07-11,100
2006-07-12,99
2006-07-13,102
2006-07-14,104
2006-07-15,107
2006-07-16,103
2006-07-17,97
2006-07-18,97
2006-07-19,98
2006-07-20,98
2006-07-21,104
2006-07-22,102
2006-07-23,103
2006-07-24,104
2006-07-25,105
2006-07-26,95
2006-07-27,93
2006-07-28,95
2006-07-29,91
2006-07-30,92
2006-07-31,92
2006-08-01,90
2006-08-02,90
2006-08-03,93
2006-08-04,91
2006-08-05,93
2006-08-06,96
2006-08-07,99
2006-08-08,99
2006-08-09,94
2006-08-10,96
2006-08-11,93
2006-08-12,93
2006-08-13,96
2006-08-14,96
2006-08-15,94
2006-08-16,95
2006-08-17,93
2006-08-18,95
2006-08-19,97
2006-08-20,99
2006-08-21,101
2006-08-22,98
2006-08-23,95
2006-08-24,93
2006-08-25,91
2006-08-26,92
2006-08-27,96
2006-08-28,98
2006-08-29,98
2006-08-30,97
2006-08-31,95
2006-09-01,96
2006-09-02,98
2006-09-03,93
2006-09-04,93
2006-09-05,96
2006-09-06,92
2006-09-07,86
2006-09-08,81
2006-09-09,84
2006-09-10,85
2006-09-11,91
2006-09-12,92
2006-09-13,88
2006-09-14,86
2006-09-15,82
2006-09-16,74
2006-09-17,79
2006-09-18,82
2006-09-19,85
2006-09-20,78
2006-09-21,79
2006-09-22,75
2006-09-23,77
2006-09-24,80
2006-09-25,87
2006-09-26,90
2006-09-27,91
2006-09-28,91
2006-09-29,92
2006-09-30,91
2006-10-01,91
2006-10-02,86
2006-10-03,88
2006-10-04,89
2006-10-05,86
2006-10-06,72
2006-10-07,74
2006-10-08,78
2006-10-09,75
2006-10-10,75
2006-10-11,77
2006-10-12,80
2006-10-13,79
2006-10-14,66
2006-10-15,69
2006-10-16,72
2006-10-17,66
2006-10-18,65
2006-10-19,69
2006-10-20,77
2006-10-21,70
2006-10-22,76
2006-10-23,80
2006-10-24,64
2006-10-25,68
2006-10-26,61
2006-10-27,71
2006-10-28,75
2006-10-29,73
2006-10-30,72
2006-10-31,70
2006-11-01,69
2006-11-02,73
2006-11-03,76
2006-11-04,73
2006-11-05,72
2006-11-06,76
2006-11-07,82
2006-11-08,81
2006-11-09,73
2006-11-10,66
2006-11-11,67
2006-11-12,61
2006-11-13,64
2006-11-14,70
2006-11-15,67
2006-11-16,72
2006-11-17,73
2006-11-18,72
2006-11-19,76
2006-11-20,77
2006-11-21,77
2006-11-22,73
2006-11-23,69
2006-11-24,65
2006-11-25,64
2006-11-26,60
2006-11-27,57
2006-11-28,51
2006-11-29,39
2006-11-30,44
2006-12-01,53
2006-12-02,52
2006-12-03,50
2006-12-04,56
2006-12-05,60
2006-12-06,62
2006-12-07,65
2006-12-08,65
2006-12-09,64
2006-12-10,53
2006-12-11,55
2006-12-12,59
2006-12-13,60
2006-12-14,65
2006-12-15,69
2006-12-16,63
2006-12-17,47
2006-12-18,45
2006-12-19,42
2006-12-20,46
2006-12-21,49
2006-12-22,43
2006-12-23,52
2006-12-24,55
2006-12-25,61
2006-12-26,62
2006-12-27,59
2006-12-28,50
2006-12-29,51
2006-12-30,51
2006-12-31,55
2007-01-01,52
2007-01-02,56
2007-01-03,63
2007-01-04,63
2007-01-05,50
2007-01-06,47
2007-01-07,52
2007-01-08,58
2007-01-09,66
2007-01-10,61
2007-01-11,59
2007-01-12,47
2007-01-13,31
2007-01-14,34
2007-01-15,38
2007-01-16,46
2007-01-17,50
2007-01-18,54
2007-01-19,51
2007-01-20,47
2007-01-21,41
2007-01-22,50
2007-01-23,55
2007-01-24,62
2007-01-25,64
2007-01-26,59
2007-01-27,59
2007-01-28,61
2007-01-29,60
2007-01-30,56
2007-01-31,52
2007-02-01,50
2007-02-02,52
2007-02-03,60
2007-02-04,67
2007-02-05,72
2007-02-06,71
2007-02-07,72
2007-02-08,68
2007-02-09,69
2007-02-10,69
2007-02-11,65
2007-02-12,62
2007-02-13,56
2007-02-14,53
2007-02-15,60
2007-02-16,66
2007-02-17,71
2007-02-18,67
2007-02-19,56
2007-02-20,54
2007-02-21,60
2007-02-22,67
2007-02-23,50
2007-02-24,52
2007-02-25,59
2007-02-26,59
2007-02-27,57
2007-02-28,47
2007-03-01,51
2007-03-02,53
2007-03-03,56
2007-03-04,64
2007-03-05,70
2007-03-06,74
2007-03-07,76
2007-03-08,73
2007-03-09,76
2007-03-10,76
2007-03-11,77
2007-03-12,81
2007-03-13,82
2007-03-14,82
2007-03-15,85
2007-03-16,88
2007-03-17,89
2007-03-18,81
2007-03-19,80
2007-03-20,72
2007-03-21,63
2007-03-22,66
2007-03-23,54
2007-03-24,66
2007-03-25,74
2007-03-26,76
2007-03-27,61
2007-03-28,55
2007-03-29,60
2007-03-30,64
2007-03-31,75
2007-04-01,79
2007-04-02,81
2007-04-03,82
2007-04-04,83
2007-04-05,85
2007-04-06,83
2007-04-07,83
2007-04-08,74
2007-04-09,76
2007-04-10,73
2007-04-11,74
2007-04-12,64
2007-04-13,68
2007-04-14,75
2007-04-15,61
2007-04-16,65
2007-04-17,76
2007-04-18,63
2007-04-19,67
2007-04-20,63
2007-04-21,67
2007-04-22,67
2007-04-23,62
2007-04-24,73
2007-04-25,80
2007-04-26,83
2007-04-27,89
2007-04-28,94
2007-04-29,88
2007-04-30,89
2007-05-01,81
2007-05-02,83
2007-05-03,73
2007-05-04,70
2007-05-05,65
2007-05-06,72
2007-05-07,80
2007-05-08,85
2007-05-09,90
2007-05-10,91
2007-05-11,95
2007-05-12,94
2007-05-13,92
2007-05-14,88
2007-05-15,90
2007-05-16,91
2007-05-17,89
2007-05-18,92
2007-05-19,93
2007-05-20,90
2007-05-21,83
2007-05-22,80
2007-05-23,78
2007-05-24,83
2007-05-25,89
2007-05-26,89
2007-05-27,90
2007-05-28,91
2007-05-29,89
2007-05-30,91
2007-05-31,91
2007-06-01,95
2007-06-02,90
2007-06-03,96
2007-06-04,98
2007-06-05,95
2007-06-06,75
2007-06-07,77
2007-06-08,85
2007-06-09,90
2007-06-10,91
2007-06-11,89
2007-06-12,88
2007-06-13,97
2007-06-14,101
2007-06-15,101
2007-06-16,97
2007-06-17,94
2007-06-18,96
2007-06-19,97
2007-06-20,97
2007-06-21,98
2007-06-22,101
2007-06-23,98
2007-06-24,97
2007-06-25,97
2007-06-26,101
2007-06-27,99
2007-06-28,99
2007-06-29,99
2007-06-30,101
2007-07-01,103
2007-07-02,103
2007-07-03,105
2007-07-04,109
2007-07-05,109
2007-07-06,104
2007-07-07,104
2007-07-08,100
2007-07-09,98
2007-07-10,96
2007-07-11,97
2007-07-12,99
2007-07-13,99
2007-07-14,98
2007-07-15,99
2007-07-16,103
2007-07-17,101
2007-07-18,102
