DAY,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,AVG
01-01,52.0,57.0,52.0,50.0,58.0,52.0,37.0,62.0,42.0,61.0,31.0,50.0,52.0,63.0,51.0
01-02,49.0,66.0,56.0,56.0,61.0,57.0,38.0,65.0,49.0,65.0,37.0,52.0,48.0,61.0,54.0
01-03,48.0,58.0,63.0,57.0,49.0,57.0,36.0,67.0,48.0,65.0,44.0,59.0,48.0,64.0,54.0
01-04,43.0,61.0,63.0,63.0,42.0,57.0,44.0,68.0,50.0,65.0,46.0,54.0,53.0,69.0,56.0
01-05,42.0,65.0,50.0,59.0,46.0,57.0,46.0,68.0,52.0,54.0,49.0,53.0,57.0,70.0,55.0
01-06,44.0,73.0,47.0,48.0,50.0,58.0,50.0,67.0,53.0,55.0,60.0,49.0,44.0,70.0,55.0
01-07,40.0,66.0,52.0,45.0,58.0,60.0,50.0,61.0,53.0,60.0,67.0,45.0,52.0,65.0,55.0
01-08,54.0,63.0,58.0,48.0,66.0,53.0,55.0,51.0,57.0,60.0,68.0,47.0,65.0,61.0,58.0
01-09,56.0,56.0,66.0,52.0,52.0,56.0,52.0,55.0,63.0,59.0,66.0,49.0,56.0,62.0,57.0
01-10,58.0,60.0,61.0,54.0,52.0,60.0,43.0,60.0,54.0,63.0,60.0,46.0,61.0,54.0,56.0
01-11,56.0,62.0,59.0,58.0,60.0,61.0,41.0,58.0,39.0,67.0,60.0,48.0,58.0,62.0,56.0
01-12,48.0,62.0,47.0,53.0,62.0,63.0,53.0,54.0,37.0,59.0,56.0,52.0,54.0,61.0,54.0
01-13,49.0,67.0,31.0,55.0,60.0,61.0,59.0,56.0,34.0,59.0,53.0,60.0,60.0,62.0,55.0
01-14,52.0,65.0,34.0,53.0,63.0,56.0,60.0,64.0,32.0,63.0,56.0,54.0,53.0,64.0,55.0
01-15,56.0,52.0,38.0,56.0,61.0,58.0,61.0,58.0,38.0,63.0,60.0,53.0,53.0,65.0,55.0
01-16,59.0,45.0,46.0,38.0,64.0,61.0,64.0,53.0,49.0,65.0,64.0,54.0,49.0,62.0,55.0
01-17,60.0,57.0,50.0,39.0,62.0,58.0,71.0,53.0,57.0,65.0,64.0,61.0,53.0,65.0,58.0
01-18,60.0,62.0,54.0,47.0,64.0,51.0,67.0,58.0,57.0,65.0,69.0,63.0,57.0,67.0,60.0
01-19,65.0,51.0,51.0,50.0,65.0,52.0,66.0,62.0,58.0,70.0,66.0,59.0,48.0,67.0,59.0
01-20,64.0,51.0,47.0,56.0,66.0,49.0,53.0,62.0,59.0,66.0,59.0,58.0,45.0,56.0,56.0
01-21,59.0,55.0,41.0,50.0,67.0,52.0,60.0,60.0,62.0,65.0,58.0,56.0,49.0,,56.0
01-22,64.0,52.0,50.0,50.0,67.0,44.0,61.0,52.0,66.0,65.0,55.0,63.0,47.0,,57.0
01-23,64.0,54.0,55.0,51.0,61.0,45.0,55.0,52.0,68.0,61.0,55.0,63.0,51.0,,57.0
01-24,59.0,60.0,62.0,47.0,59.0,47.0,57.0,51.0,59.0,58.0,62.0,56.0,45.0,63.0,56.0
01-25,59.0,57.0,64.0,51.0,56.0,50.0,60.0,60.0,62.0,65.0,67.0,54.0,44.0,63.0,58.0
01-26,50.0,58.0,59.0,54.0,46.0,55.0,57.0,70.0,54.0,63.0,67.0,54.0,45.0,56.0,56.0
01-27,51.0,55.0,59.0,51.0,45.0,50.0,60.0,58.0,57.0,65.0,62.0,58.0,45.0,59.0,55.0
01-28,54.0,57.0,61.0,49.0,55.0,53.0,65.0,57.0,45.0,65.0,61.0,64.0,51.0,66.0,57.0
01-29,44.0,61.0,60.0,45.0,57.0,54.0,63.0,63.0,49.0,70.0,60.0,66.0,59.0,72.0,59.0
01-30,51.0,67.0,56.0,45.0,61.0,56.0,59.0,63.0,56.0,67.0,49.0,68.0,65.0,73.0,60.0
01-31,52.0,62.0,52.0,45.0,63.0,56.0,54.0,64.0,60.0,54.0,56.0,63.0,67.0,73.0,59.0
02-01,52.0,65.0,50.0,51.0,61.0,56.0,48.0,63.0,63.0,49.0,62.0,39.0,66.0,72.0,57.0
02-02,54.0,65.0,52.0,49.0,62.0,56.0,34.0,53.0,65.0,51.0,67.0,42.0,65.0,73.0,56.0
02-03,57.0,68.0,60.0,50.0,68.0,57.0,45.0,55.0,60.0,50.0,71.0,44.0,66.0,72.0,59.0
02-04,59.0,70.0,67.0,44.0,69.0,56.0,58.0,57.0,64.0,52.0,74.0,51.0,64.0,73.0,61.0
02-05,55.0,61.0,72.0,42.0,70.0,54.0,62.0,59.0,67.0,53.0,74.0,56.0,64.0,75.0,62.0
02-06,55.0,60.0,71.0,50.0,60.0,52.0,60.0,58.0,63.0,50.0,75.0,59.0,58.0,67.0,60.0
02-07,52.0,67.0,72.0,59.0,53.0,45.0,63.0,59.0,64.0,54.0,73.0,65.0,67.0,67.0,61.0
02-08,52.0,72.0,68.0,63.0,46.0,50.0,56.0,66.0,50.0,61.0,74.0,68.0,69.0,73.0,62.0
02-09,55.0,71.0,69.0,64.0,43.0,50.0,52.0,68.0,42.0,66.0,74.0,70.0,75.0,78.0,63.0
02-10,57.0,68.0,69.0,65.0,38.0,54.0,52.0,71.0,44.0,68.0,69.0,72.0,75.0,69.0,62.0
02-11,49.0,60.0,65.0,66.0,46.0,56.0,61.0,69.0,45.0,64.0,66.0,74.0,60.0,60.0,60.0
02-12,52.0,67.0,62.0,64.0,46.0,59.0,67.0,58.0,49.0,71.0,71.0,75.0,56.0,56.0,61.0
02-13,57.0,68.0,56.0,67.0,49.0,63.0,69.0,56.0,56.0,75.0,77.0,75.0,66.0,56.0,64.0
02-14,59.0,68.0,53.0,43.0,48.0,63.0,66.0,46.0,62.0,77.0,75.0,70.0,66.0,56.0,61.0
02-15,59.0,61.0,60.0,52.0,51.0,65.0,66.0,51.0,63.0,77.0,75.0,72.0,68.0,56.0,63.0
02-16,60.0,51.0,66.0,60.0,54.0,64.0,61.0,55.0,69.0,73.0,72.0,77.0,67.0,58.0,63.0
02-17,60.0,55.0,71.0,60.0,50.0,64.0,57.0,57.0,65.0,75.0,65.0,78.0,65.0,65.0,63.0
02-18,54.0,50.0,67.0,58.0,52.0,65.0,59.0,61.0,63.0,73.0,72.0,70.0,55.0,64.0,62.0
02-19,56.0,52.0,56.0,61.0,57.0,60.0,47.0,56.0,60.0,74.0,74.0,73.0,55.0,51.0,59.0
02-20,54.0,53.0,54.0,58.0,59.0,50.0,44.0,56.0,44.0,61.0,71.0,72.0,59.0,45.0,56.0
02-21,52.0,52.0,60.0,52.0,64.0,53.0,50.0,61.0,45.0,68.0,69.0,73.0,67.0,47.0,58.0
02-22,51.0,59.0,67.0,48.0,64.0,48.0,52.0,66.0,51.0,69.0,59.0,66.0,67.0,50.0,58.0
02-23,50.0,67.0,50.0,51.0,66.0,53.0,52.0,68.0,56.0,71.0,44.0,59.0,51.0,45.0,56.0
02-24,57.0,69.0,52.0,64.0,70.0,54.0,53.0,63.0,48.0,72.0,54.0,66.0,51.0,49.0,59.0
02-25,54.0,70.0,59.0,60.0,69.0,58.0,57.0,68.0,55.0,72.0,65.0,74.0,55.0,51.0,62.0
02-26,55.0,71.0,59.0,63.0,63.0,59.0,48.0,61.0,53.0,71.0,65.0,76.0,55.0,58.0,61.0
02-27,58.0,72.0,57.0,67.0,65.0,58.0,42.0,62.0,53.0,68.0,62.0,77.0,49.0,54.0,60.0
02-28,59.0,63.0,47.0,68.0,63.0,58.0,56.0,48.0,62.0,66.0,56.0,75.0,54.0,54.0,59.0
03-01,59.0,62.0,51.0,70.0,74.0,61.0,60.0,57.0,71.0,56.0,52.0,79.0,58.0,58.0,62.0
03-02,59.0,64.0,53.0,52.0,77.0,62.0,66.0,49.0,74.0,55.0,50.0,78.0,66.0,64.0,62.0
03-03,58.0,66.0,56.0,55.0,71.0,61.0,65.0,61.0,69.0,64.0,50.0,78.0,71.0,64.0,64.0
03-04,56.0,59.0,64.0,62.0,67.0,53.0,64.0,70.0,66.0,66.0,54.0,78.0,68.0,53.0,63.0
03-05,55.0,67.0,70.0,52.0,59.0,59.0,67.0,73.0,69.0,71.0,62.0,74.0,63.0,58.0,64.0
03-06,62.0,67.0,74.0,56.0,55.0,65.0,68.0,72.0,69.0,73.0,68.0,68.0,54.0,67.0,66.0
03-07,65.0,61.0,76.0,62.0,52.0,48.0,61.0,46.0,65.0,67.0,70.0,57.0,68.0,62.0,61.0
03-08,70.0,57.0,73.0,65.0,60.0,50.0,56.0,60.0,51.0,68.0,74.0,65.0,74.0,73.0,64.0
03-09,71.0,57.0,76.0,62.0,60.0,48.0,70.0,68.0,50.0,72.0,72.0,71.0,80.0,73.0,66.0
03-10,73.0,49.0,76.0,67.0,59.0,49.0,74.0,66.0,61.0,73.0,75.0,77.0,79.0,64.0,67.0
03-11,73.0,46.0,77.0,71.0,64.0,51.0,74.0,69.0,68.0,62.0,72.0,76.0,80.0,63.0,68.0
03-12,73.0,46.0,81.0,73.0,62.0,59.0,71.0,71.0,75.0,67.0,71.0,63.0,81.0,70.0,69.0
03-13,67.0,52.0,82.0,72.0,63.0,61.0,75.0,72.0,81.0,63.0,74.0,65.0,83.0,72.0,70.0
03-14,55.0,61.0,82.0,65.0,66.0,56.0,72.0,72.0,84.0,71.0,77.0,66.0,84.0,72.0,70.0
03-15,55.0,60.0,85.0,57.0,65.0,65.0,75.0,75.0,81.0,70.0,77.0,71.0,82.0,55.0,70.0
03-16,62.0,62.0,88.0,45.0,69.0,71.0,76.0,74.0,80.0,76.0,77.0,75.0,79.0,63.0,71.0
03-17,59.0,65.0,89.0,55.0,75.0,75.0,69.0,66.0,77.0,76.0,77.0,78.0,81.0,59.0,72.0
03-18,58.0,54.0,81.0,64.0,77.0,71.0,71.0,44.0,75.0,61.0,72.0,79.0,83.0,56.0,68.0
03-19,56.0,49.0,80.0,69.0,75.0,64.0,59.0,45.0,76.0,69.0,71.0,81.0,83.0,61.0,67.0
03-20,59.0,54.0,72.0,69.0,78.0,63.0,63.0,56.0,72.0,70.0,75.0,82.0,83.0,64.0,69.0
03-21,63.0,46.0,63.0,73.0,74.0,68.0,57.0,68.0,75.0,73.0,77.0,80.0,79.0,73.0,69.0
03-22,65.0,59.0,66.0,70.0,60.0,70.0,53.0,74.0,73.0,72.0,74.0,67.0,69.0,72.0,67.0
03-23,55.0,68.0,54.0,72.0,56.0,63.0,61.0,75.0,57.0,75.0,71.0,63.0,60.0,68.0,64.0
03-24,54.0,71.0,66.0,76.0,61.0,64.0,56.0,73.0,67.0,79.0,73.0,72.0,69.0,68.0,68.0
03-25,58.0,73.0,74.0,76.0,66.0,67.0,58.0,71.0,73.0,78.0,72.0,76.0,67.0,62.0,69.0
03-26,56.0,67.0,76.0,73.0,67.0,54.0,59.0,61.0,75.0,66.0,78.0,66.0,69.0,61.0,66.0
03-27,64.0,71.0,61.0,74.0,59.0,61.0,63.0,69.0,73.0,59.0,82.0,73.0,68.0,62.0,67.0
03-28,63.0,63.0,55.0,74.0,69.0,70.0,69.0,72.0,73.0,70.0,84.0,71.0,65.0,71.0,69.0
03-29,60.0,56.0,60.0,71.0,70.0,73.0,71.0,73.0,77.0,76.0,83.0,55.0,73.0,76.0,70.0
03-30,56.0,62.0,64.0,65.0,57.0,75.0,71.0,77.0,78.0,66.0,85.0,58.0,75.0,80.0,69.0
03-31,58.0,59.0,75.0,66.0,67.0,64.0,81.0,80.0,78.0,69.0,82.0,66.0,55.0,84.0,70.0
04-01,67.0,65.0,79.0,69.0,69.0,56.0,87.0,63.0,68.0,61.0,78.0,72.0,69.0,81.0,70.0
04-02,69.0,70.0,81.0,71.0,73.0,60.0,85.0,59.0,71.0,54.0,68.0,76.0,75.0,78.0,71.0
04-03,73.0,78.0,82.0,71.0,62.0,65.0,72.0,70.0,79.0,62.0,71.0,79.0,73.0,76.0,72.0
04-04,61.0,75.0,83.0,72.0,57.0,68.0,69.0,75.0,80.0,66.0,75.0,81.0,65.0,78.0,72.0
04-05,65.0,62.0,85.0,70.0,67.0,63.0,76.0,71.0,76.0,67.0,76.0,83.0,75.0,81.0,73.0
04-06,76.0,62.0,83.0,75.0,76.0,59.0,67.0,63.0,78.0,70.0,69.0,86.0,79.0,81.0,73.0
04-07,79.0,71.0,83.0,70.0,79.0,64.0,68.0,77.0,78.0,79.0,68.0,80.0,76.0,86.0,76.0
04-08,64.0,76.0,74.0,70.0,62.0,72.0,50.0,80.0,65.0,84.0,64.0,66.0,71.0,80.0,70.0
04-09,54.0,78.0,76.0,64.0,67.0,75.0,43.0,83.0,60.0,85.0,71.0,66.0,64.0,82.0,69.0
04-10,62.0,67.0,73.0,63.0,67.0,76.0,56.0,83.0,67.0,86.0,72.0,59.0,74.0,87.0,71.0
04-11,70.0,70.0,74.0,68.0,56.0,78.0,67.0,63.0,76.0,86.0,76.0,61.0,76.0,89.0,72.0
04-12,76.0,81.0,64.0,75.0,69.0,59.0,70.0,63.0,79.0,79.0,81.0,73.0,81.0,70.0,73.0
04-13,78.0,83.0,68.0,84.0,76.0,63.0,70.0,65.0,82.0,80.0,82.0,76.0,81.0,62.0,75.0
04-14,75.0,79.0,75.0,86.0,75.0,68.0,65.0,47.0,78.0,74.0,80.0,75.0,74.0,74.0,73.0
04-15,77.0,68.0,61.0,80.0,49.0,78.0,74.0,65.0,73.0,76.0,60.0,63.0,79.0,78.0,70.0
04-16,80.0,74.0,65.0,61.0,56.0,78.0,81.0,73.0,62.0,84.0,63.0,69.0,82.0,79.0,72.0
04-17,81.0,65.0,76.0,68.0,66.0,80.0,84.0,78.0,59.0,85.0,72.0,73.0,78.0,65.0,74.0
04-18,76.0,67.0,63.0,79.0,75.0,81.0,77.0,82.0,62.0,75.0,81.0,74.0,81.0,74.0,75.0
04-19,63.0,74.0,67.0,78.0,84.0,75.0,75.0,84.0,73.0,75.0,83.0,82.0,79.0,64.0,75.0
04-20,66.0,80.0,63.0,69.0,88.0,78.0,79.0,85.0,76.0,84.0,83.0,85.0,79.0,73.0,78.0
04-21,75.0,81.0,67.0,71.0,90.0,59.0,76.0,90.0,84.0,87.0,81.0,86.0,77.0,82.0,79.0
04-22,74.0,78.0,67.0,79.0,90.0,47.0,75.0,93.0,84.0,82.0,75.0,87.0,83.0,85.0,78.0
