Date,Temp
2005-01-01,53
2005-01-02,50
2005-01-03,47
2005-01-04,45
2005-01-05,41
2005-01-06,42
2005-01-07,42
2005-01-08,55
2005-01-09,60
2005-01-10,57
2005-01-11,56
2005-01-12,46
2005-01-13,46
2005-01-14,52
2005-01-15,52
2005-01-16,52
2005-01-17,53
2005-01-18,56
2005-01-19,58
2005-01-20,53
2005-01-21,60
2005-01-22,59
2005-01-23,58
2005-01-24,54
2005-01-25,59
2005-01-26,51
2005-01-27,51
2005-01-28,54
2005-01-29,50
2005-01-30,45
2005-01-31,44
2005-02-01,44
2005-02-02,46
2005-02-03,53
2005-02-04,48
2005-02-05,53
2005-02-06,53
2005-02-07,49
2005-02-08,48
2005-02-09,49
2005-02-10,47
2005-02-11,45
2005-02-12,51
2005-02-13,54
2005-02-14,60
2005-02-15,57
2005-02-16,60
2005-02-17,59
2005-02-18,60
2005-02-19,52
2005-02-20,54
2005-02-21,58
2005-02-22,56
2005-02-23,55
2005-02-24,50
2005-02-25,48
2005-02-26,50
2005-02-27,53
2005-02-28,60
2005-03-01,57
2005-03-02,60
2005-03-03,56
2005-03-04,60
2005-03-05,53
2005-03-06,51
2005-03-07,63
2005-03-08,68
2005-03-09,68
2005-03-10,72
2005-03-11,70
2005-03-12,76
2005-03-13,72
2005-03-15,42
2005-03-16,52
2005-03-17,57
2005-03-18,57
2005-03-19,52
2005-03-20,57
2005-03-21,59
2005-03-22,64
2005-03-23,59
2005-03-24,54
2005-03-25,49
2005-03-26,55
2005-03-27,64
2005-03-28,67
2005-03-29,61
2005-03-30,57
2005-03-31,54
2005-04-01,61
2005-04-02,75
2005-04-03,76
2005-04-04,66
2005-04-05,61
2005-04-06,68
2005-04-07,81
2005-04-08,70
2005-04-09,54
2005-04-10,59
2005-04-11,65
2005-04-12,72
2005-04-13,78
2005-04-14,79
2005-04-15,80
2005-04-16,84
2005-04-17,80
2005-04-18,74
2005-04-19,73
2005-04-20,68
2005-04-21,69
2005-04-22,75
2005-04-23,80
2005-04-24,57
2005-04-25,61
2005-04-26,68
2005-04-27,70
2005-04-28,64
2005-04-29,61
2005-04-30,70
2005-05-01,74
2005-05-02,72
2005-05-03,69
2005-05-04,76
2005-05-05,80
2005-05-06,67
2005-05-07,69
2005-05-08,75
2005-05-09,77
2005-05-10,73
2005-05-11,68
2005-05-12,74
2005-05-13,77
2005-05-14,79
2005-05-15,83
2005-05-16,84
2005-05-17,77
2005-05-18,84
2005-05-19,90
2005-05-20,97
2005-05-21,96
2005-05-22,98
2005-05-23,96
2005-05-24,92
2005-05-25,90
2005-05-26,91
2005-05-27,90
2005-05-28,83
2005-05-29,84
2005-05-30,82
2005-05-31,82
2005-06-01,87
2005-06-02,80
2005-06-03,79
2005-06-04,78
2005-06-05,85
2005-06-06,83
2005-06-07,82
2005-06-08,85
2005-06-09,82
2005-06-10,78
2005-06-11,82
2005-06-12,83
2005-06-13,86
2005-06-14,95
2005-06-15,93
2005-06-16,92
2005-06-17,89
2005-06-18,90
2005-06-19,95
2005-06-20,97
2005-06-21,96
2005-06-22,93
2005-06-23,87
2005-06-24,90
2005-06-25,91
2005-06-26,92
2005-06-27,92
2005-06-28,96
2005-06-29,94
2005-06-30,98
2005-07-01,98
2005-07-02,98
2005-07-03,96
2005-07-04,99
2005-07-05,98
2005-07-06,98
2005-07-07,97
2005-07-08,97
2005-07-09,97
2005-07-10,97
2005-07-11,97
2005-07-12,102
2005-07-13,104
2005-07-14,103
2005-07-15,103
2005-07-16,103
2005-07-17,103
2005-07-18,105
2005-07-19,103
2005-07-20,102
2005-07-21,104
2005-07-22,98
2005-07-23,94
2005-07-24,92
2005-07-25,89
2005-07-26,91
2005-07-27,94
2005-07-28,95
2005-07-29,97
2005-07-30,96
2005-07-31,92
2005-08-01,90
2005-08-02,91
2005-08-03,89
2005-08-04,90
2005-08-05,90
2005-08-06,85
2005-08-07,85
2005-08-08,86
2005-08-09,86
2005-08-10,86
2005-08-11,84
2005-08-12,86
2005-08-13,86
2005-08-14,87
2005-08-15,84
2005-08-16,88
2005-08-17,89
2005-08-18,89
2005-08-19,85
2005-08-20,88
2005-08-21,92
2005-08-22,86
2005-08-23,85
2005-08-24,88
2005-08-25,86
2005-08-26,92
2005-08-27,95
2005-08-28,95
2005-08-29,96
2005-08-30,95
2005-08-31,93
2005-09-01,91
2005-09-02,87
2005-09-03,86
2005-09-04,86
2005-09-05,89
2005-09-06,90
2005-09-07,92
2005-09-08,76
2005-09-09,86
2005-09-10,83
2005-09-11,83
2005-09-12,82
2005-09-13,82
2005-09-14,80
2005-09-15,85
2005-09-16,86
2005-09-17,88
2005-09-18,89
2005-09-19,88
2005-09-20,86
2005-09-21,88
2005-09-22,88
2005-09-23,88
2005-09-24,85
2005-09-25,88
2005-09-26,88
2005-09-27,85
2005-09-28,80
2005-09-29,77
2005-09-30,83
2005-10-01,86
2005-10-02,85
2005-10-03,85
2005-10-04,83
2005-10-05,72
2005-10-06,76
2005-10-07,85
2005-10-08,82
2005-10-09,68
2005-10-10,65
2005-10-11,72
2005-10-12,70
2005-10-13,73
2005-10-14,76
2005-10-15,70
2005-10-16,74
2005-10-17,77
2005-10-18,72
2005-10-19,63
2005-10-20,70
2005-10-21,71
2005-10-22,75
2005-10-23,76
2005-10-24,76
2005-10-25,75
2005-10-26,71
2005-10-27,73
2005-10-28,67
2005-10-29,71
2005-10-30,68
2005-10-31,65
2005-11-01,69
2005-11-02,76
2005-11-03,74
2005-11-04,71
2005-11-05,68
2005-11-06,74
2005-11-07,75
2005-11-08,77
2005-11-09,72
2005-11-10,72
2005-11-11,59
2005-11-12,66
2005-11-13,66
2005-11-14,70
2005-11-15,51
2005-11-16,52
2005-11-17,58
2005-11-18,54
2005-11-19,59
2005-11-20,55
2005-11-21,58
2005-11-22,55
2005-11-23,56
2005-11-24,60
2005-11-25,60
2005-11-26,60
2005-11-27,40
2005-11-28,39
2005-11-29,53
2005-11-30,60
2005-12-01,66
2005-12-02,67
2005-12-03,59
2005-12-04,39
2005-12-05,38
2005-12-06,46
2005-12-07,44
2005-12-08,35
2005-12-09,41
2005-12-10,48
2005-12-11,44
2005-12-12,42
2005-12-13,55
2005-12-14,47
2005-12-15,32
2005-12-16,42
2005-12-17,48
2005-12-18,52
2005-12-19,56
2005-12-20,56
2005-12-21,55
2005-12-22,62
2005-12-23,61
2005-12-24,58
2005-12-25,59
2005-12-26,64
2005-12-27,51
2005-12-28,59
2005-12-29,60
2005-12-30,58
2005-12-31,59
2006-01-01,59
2006-01-02,66
2006-01-03,55
2006-01-04,55
2006-01-05,53
2006-01-06,54
2006-01-07,66
2006-01-08,60
2006-01-09,46
2006-01-10,46
2006-01-11,51
2006-01-12,55
2006-01-13,52
2006-01-14,63
2006-01-15,52
2006-01-16,42
2006-01-17,47
2006-01-18,63
2006-01-19,48
2006-01-20,40
2006-01-21,43
2006-01-22,42
2006-01-23,46
2006-01-24,45
2006-01-25,47
2006-01-26,51
2006-01-27,53
2006-01-28,49
2006-01-29,59
2006-01-30,61
2006-01-31,58
2006-02-01,63
2006-02-02,72
2006-02-03,56
2006-02-04,65
2006-02-05,56
2006-02-06,50
2006-02-07,54
2006-02-08,59
2006-02-09,55
2006-02-10,61
2006-02-11,48
2006-02-12,53
2006-02-13,58
2006-02-14,66
2006-02-15,63
2006-02-16,47
2006-02-17,59
2006-02-18,58
2006-02-19,53
2006-02-20,55
2006-02-21,51
2006-02-22,52
2006-02-23,57
2006-02-24,61
2006-02-25,65
2006-02-26,70
2006-02-27,73
2006-02-28,70
2006-03-01,60
2006-03-02,67
2006-03-03,69
2006-03-04,65
2006-03-05,70
2006-03-06,72
2006-03-07,66
2006-03-08,47
2006-03-09,50
2006-03-10,46
2006-03-11,37
2006-03-12,39
2006-03-13,42
2006-03-14,53
2006-03-15,63
2006-03-16,65
2006-03-17,66
2006-03-18,58
2006-03-19,47
2006-03-20,51
2006-03-21,56
2006-03-22,51
2006-03-23,59
2006-03-24,67
2006-03-25,70
2006-03-26,70
2006-03-27,61
2006-03-28,62
2006-03-29,62
2006-03-30,53
2006-03-31,72
2006-04-01,65
2006-04-02,68
2006-04-03,79
2006-04-04,75
2006-04-05,61
2006-04-06,61
2006-04-07,70
2006-04-08,77
2006-04-09,78
2006-04-10,70
2006-04-11,71
2006-04-12,82
2006-04-13,80
2006-04-14,81
2006-04-15,71
2006-04-16,78
2006-04-17,75
2006-04-18,62
2006-04-19,70
2006-04-20,76
2006-04-21,85
2006-04-22,82
2006-04-23,70
2006-04-24,70
2006-04-25,75
2006-04-26,81
2006-04-27,75
2006-04-28,70
2006-04-29,76
2006-04-30,82
2006-05-01,78
2006-05-02,85
2006-05-03,81
2006-05-04,80
2006-05-05,74
2006-05-06,79
2006-05-07,81
2006-05-08,85
2006-05-09,84
2006-05-10,79
2006-05-11,84
2006-05-12,89
2006-05-13,92
2006-05-14,92
2006-05-15,92
2006-05-16,87
2006-05-17,89
2006-05-18,90
2006-05-19,91
2006-05-20,90
2006-05-21,89
2006-05-22,81
2006-05-23,80
2006-05-24,90
2006-05-25,92
2006-05-26,88
2006-05-27,82
2006-05-28,76
2006-05-29,81
2006-05-30,84
2006-05-31,89
2006-06-01,96
2006-06-02,96
2006-06-03,94
2006-06-04,98
2006-06-05,98
2006-06-06,101
2006-06-07,89
2006-06-08,84
2006-06-09,72
2006-06-12,94
2006-06-13,98
2006-06-14,94
2006-06-15,88
2006-06-16,84
2006-06-17,92
2006-06-18,99
2006-06-19,99
2006-06-20,97
2006-06-21,95
2006-06-22,97
2006-06-23,99
2006-06-24,99
2006-06-25,99
2006-06-26,96
2006-06-27,91
2006-06-28,93
2006-06-29,95
2006-06-30,97
2006-07-01,96
2006-07-02,93
2006-07-03,92
2006-07-04,90
2006-07-05,87
2006-07-06,91
2006-07-07,83
2006-07-08,84
2006-07-09,89
2006-07-10,93
2006-07-11,97
2006-07-12,97
2006-07-13,99
2006-07-14,101
2006-07-15,100
2006-07-16,98
2006-07-17,97
2006-07-18,93
2006-07-19,95
2006-07-20,95
2006-07-21,103
2006-07-22,98
2006-07-23,98
2006-07-24,101
2006-07-25,98
2006-07-26,99
2006-07-27,101
2006-07-28,91
2006-07-29,92
2006-07-30,83
2006-07-31,88
2006-08-01,88
2006-08-02,87
2006-08-03,89
2006-08-04,78
2006-08-05,88
2006-08-06,92
2006-08-07,91
2006-08-08,89
2006-08-09,85
2006-08-10,90
2006-08-11,90
2006-08-12,82
2006-08-13,86
2006-08-14,88
2006-08-15,85
2006-08-16,85
2006-08-17,86
2006-08-18,87
2006-08-19,94
2006-08-20,90
2006-08-21,90
2006-08-22,83
2006-08-23,89
2006-08-24,84
2006-08-25,84
2006-08-26,88
2006-08-27,88
2006-08-28,90
2006-08-29,91
2006-08-30,88
2006-08-31,87
2006-09-01,90
2006-09-02,85
2006-09-03,83
2006-09-04,86
2006-09-05,88
2006-09-06,87
2006-09-07,73
2006-09-08,78
2006-09-09,79
2006-09-10,82
2006-09-11,85
2006-09-12,84
2006-09-13,80
2006-09-14,82
2006-09-15,77
2006-09-16,75
2006-09-17,71
2006-09-18,74
2006-09-19,84
2006-09-20,78
2006-09-21,76
2006-09-22,72
2006-09-23,66
2006-09-24,72
2006-09-25,80
2006-09-26,86
2006-09-27,83
2006-09-28,85
2006-09-29,85
2006-09-30,87
2006-10-01,86
2006-10-02,84
2006-10-03,85
2006-10-04,86
2006-10-05,80
2006-10-06,73
2006-10-07,76
2006-10-08,71
2006-10-09,66
2006-10-10,69
2006-10-11,70
2006-10-12,75
2006-10-13,74
2006-10-14,69
2006-10-15,61
2006-10-16,72
2006-10-17,65
2006-10-18,58
2006-10-19,61
2006-10-20,69
2006-10-21,62
2006-10-22,64
