DAY,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,AVG
01-01,53.0,59.0,44.0,34.0,58.0,40.0,28.0,52.0,35.0,53.0,31.0,37.0,50.0,58.0,45.0
01-02,50.0,66.0,47.0,37.0,60.0,46.0,26.0,51.0,34.0,53.0,28.0,42.0,45.0,49.0,45.0
01-03,47.0,55.0,51.0,44.0,54.0,45.0,35.0,50.0,34.0,57.0,38.0,45.0,51.0,46.0,47.0
01-04,45.0,55.0,59.0,59.0,36.0,44.0,40.0,52.0,37.0,61.0,46.0,47.0,59.0,56.0,50.0
01-05,41.0,53.0,41.0,55.0,42.0,44.0,38.0,55.0,42.0,43.0,47.0,51.0,57.0,64.0,48.0
01-06,42.0,54.0,39.0,50.0,44.0,48.0,39.0,58.0,44.0,44.0,49.0,48.0,43.0,64.0,48.0
01-07,42.0,66.0,41.0,43.0,48.0,44.0,42.0,60.0,44.0,48.0,51.0,41.0,39.0,56.0,48.0
01-08,55.0,60.0,48.0,36.0,52.0,42.0,45.0,50.0,47.0,57.0,53.0,41.0,60.0,50.0,50.0
01-09,60.0,46.0,47.0,50.0,49.0,43.0,52.0,47.0,49.0,57.0,56.0,44.0,66.0,67.0,52.0
01-10,57.0,46.0,52.0,47.0,46.0,39.0,38.0,55.0,56.0,56.0,51.0,41.0,64.0,52.0,50.0
01-11,56.0,51.0,59.0,52.0,51.0,46.0,34.0,53.0,36.0,60.0,54.0,40.0,60.0,53.0,50.0
01-12,46.0,55.0,51.0,45.0,54.0,50.0,41.0,44.0,31.0,59.0,52.0,44.0,59.0,59.0,49.0
01-13,46.0,52.0,29.0,41.0,52.0,50.0,44.0,47.0,33.0,50.0,42.0,45.0,50.0,56.0,46.0
01-14,52.0,63.0,30.0,44.0,54.0,48.0,53.0,52.0,27.0,54.0,46.0,55.0,44.0,56.0,48.0
01-15,52.0,52.0,31.0,50.0,56.0,51.0,50.0,58.0,31.0,56.0,49.0,45.0,49.0,57.0,49.0
01-16,52.0,42.0,34.0,33.0,52.0,48.0,55.0,50.0,38.0,57.0,48.0,44.0,49.0,54.0,47.0
01-17,53.0,47.0,38.0,31.0,52.0,54.0,64.0,53.0,41.0,54.0,54.0,57.0,48.0,54.0,50.0
01-18,56.0,63.0,40.0,36.0,51.0,47.0,58.0,61.0,45.0,55.0,55.0,59.0,56.0,55.0,53.0
01-19,58.0,48.0,38.0,41.0,50.0,51.0,63.0,70.0,48.0,55.0,57.0,51.0,48.0,68.0,53.0
01-20,53.0,40.0,40.0,57.0,53.0,46.0,45.0,61.0,48.0,56.0,54.0,60.0,46.0,50.0,51.0
01-21,60.0,43.0,33.0,51.0,51.0,44.0,52.0,58.0,49.0,51.0,44.0,50.0,44.0,44.0,48.0
01-22,59.0,42.0,36.0,51.0,52.0,37.0,54.0,45.0,55.0,54.0,42.0,50.0,41.0,42.0,47.0
01-23,58.0,46.0,36.0,54.0,57.0,41.0,50.0,55.0,50.0,52.0,47.0,66.0,49.0,46.0,50.0
01-24,54.0,45.0,38.0,52.0,61.0,39.0,51.0,49.0,55.0,47.0,51.0,54.0,42.0,52.0,49.0
01-25,59.0,47.0,42.0,51.0,58.0,37.0,48.0,52.0,59.0,55.0,56.0,48.0,40.0,62.0,51.0
01-26,51.0,51.0,46.0,54.0,49.0,43.0,50.0,60.0,51.0,59.0,55.0,48.0,38.0,50.0,50.0
01-27,51.0,53.0,48.0,54.0,43.0,38.0,52.0,56.0,55.0,61.0,65.0,52.0,38.0,50.0,51.0
01-28,54.0,49.0,48.0,48.0,48.0,37.0,57.0,50.0,44.0,57.0,59.0,57.0,44.0,57.0,51.0
01-29,50.0,59.0,51.0,37.0,50.0,45.0,62.0,52.0,39.0,61.0,56.0,61.0,49.0,59.0,52.0
01-30,45.0,61.0,42.0,38.0,51.0,44.0,58.0,61.0,47.0,69.0,48.0,62.0,53.0,64.0,53.0
01-31,44.0,58.0,44.0,33.0,56.0,50.0,48.0,59.0,50.0,55.0,50.0,61.0,63.0,71.0,53.0
02-01,44.0,63.0,41.0,50.0,58.0,47.0,40.0,57.0,56.0,46.0,54.0,39.0,66.0,69.0,52.0
02-02,46.0,72.0,41.0,50.0,56.0,45.0,20.0,49.0,55.0,48.0,60.0,37.0,64.0,68.0,51.0
02-03,53.0,56.0,48.0,49.0,58.0,42.0,28.0,46.0,47.0,44.0,65.0,37.0,65.0,67.0,50.0
02-04,48.0,65.0,53.0,36.0,62.0,51.0,48.0,50.0,54.0,49.0,68.0,42.0,66.0,68.0,54.0
02-05,53.0,56.0,56.0,36.0,71.0,54.0,57.0,51.0,57.0,45.0,68.0,44.0,66.0,69.0,56.0
02-06,53.0,50.0,60.0,30.0,62.0,56.0,51.0,51.0,58.0,48.0,73.0,49.0,62.0,63.0,55.0
02-07,49.0,54.0,67.0,39.0,62.0,47.0,61.0,47.0,56.0,51.0,74.0,55.0,61.0,56.0,56.0
02-08,48.0,59.0,65.0,48.0,47.0,47.0,46.0,50.0,34.0,64.0,69.0,59.0,65.0,62.0,54.0
02-09,49.0,55.0,64.0,51.0,48.0,48.0,40.0,60.0,,67.0,72.0,61.0,73.0,71.0,58.0
02-10,47.0,61.0,66.0,53.0,40.0,44.0,41.0,61.0,,63.0,67.0,62.0,76.0,66.0,57.0
02-11,45.0,48.0,57.0,58.0,43.0,49.0,49.0,65.0,34.0,58.0,61.0,65.0,69.0,50.0,54.0
02-12,51.0,53.0,57.0,57.0,52.0,53.0,55.0,55.0,40.0,61.0,59.0,68.0,59.0,58.0,56.0
02-13,54.0,58.0,46.0,64.0,50.0,55.0,63.0,52.0,46.0,75.0,65.0,73.0,50.0,59.0,58.0
02-14,60.0,66.0,45.0,49.0,46.0,54.0,70.0,44.0,52.0,74.0,70.0,66.0,53.0,58.0,58.0
02-15,57.0,63.0,48.0,36.0,53.0,53.0,70.0,45.0,54.0,75.0,74.0,64.0,57.0,58.0,58.0
02-16,60.0,47.0,57.0,49.0,60.0,55.0,64.0,53.0,57.0,74.0,70.0,67.0,61.0,49.0,59.0
02-17,59.0,59.0,58.0,54.0,51.0,56.0,60.0,54.0,62.0,73.0,55.0,76.0,57.0,58.0,59.0
02-18,60.0,58.0,58.0,54.0,49.0,61.0,62.0,63.0,55.0,69.0,67.0,71.0,62.0,64.0,61.0
02-19,52.0,53.0,56.0,56.0,52.0,59.0,48.0,52.0,59.0,71.0,72.0,71.0,54.0,54.0,58.0
02-20,54.0,55.0,51.0,55.0,57.0,50.0,40.0,50.0,40.0,52.0,70.0,72.0,60.0,44.0,54.0
02-21,58.0,51.0,63.0,48.0,62.0,52.0,41.0,58.0,44.0,62.0,67.0,72.0,73.0,51.0,57.0
