Date,Time,Temp
2005-01-01,00:55:00,48
2005-01-01,01:55:00,45
2005-01-01,02:55:00,44
2005-01-01,03:55:00,42
2005-01-01,04:55:00,41
2005-01-01,05:00:00,41
2005-01-01,05:55:00,40
2005-01-01,06:55:00,40
2005-01-01,07:55:00,40
2005-01-01,08:55:00,45
2005-01-01,09:55:00,50
2005-01-01,10:55:00,55
2005-01-01,11:00:00,55
2005-01-01,11:55:00,58
2005-01-01,12:55:00,61
2005-01-01,13:55:00,62
2005-01-01,14:55:00,64
2005-01-01,15:55:00,63
2005-01-01,16:55:00,61
2005-01-01,17:00:00,61
2005-01-01,17:55:00,58
2005-01-01,18:55:00,56
2005-01-01,19:55:00,54
2005-01-01,20:55:00,53
2005-01-01,21:55:00,52
2005-01-01,22:55:00,51
2005-01-01,23:55:00,49
2005-01-02,00:55:00,50
2005-01-02,01:55:00,49
2005-01-02,02:55:00,48
2005-01-02,03:55:00,48
2005-01-02,04:55:00,48
2005-01-02,05:00:00,48
2005-01-02,05:55:00,50
2005-01-02,06:55:00,50
2005-01-02,07:55:00,50
2005-01-02,08:55:00,53
2005-01-02,09:55:00,56
2005-01-02,10:55:00,57
2005-01-02,11:00:00,57
2005-01-02,11:55:00,58
2005-01-02,12:55:00,59
2005-01-02,13:55:00,60
2005-01-02,14:55:00,61
2005-01-02,15:55:00,62
2005-01-02,16:55:00,60
2005-01-02,17:00:00,60
2005-01-02,17:55:00,59
2005-01-02,18:55:00,59
2005-01-02,19:55:00,57
2005-01-02,20:55:00,57
2005-01-02,21:55:00,53
2005-01-02,22:55:00,53
2005-01-02,23:00:00,53
2005-01-02,23:55:00,53
2005-01-03,00:55:00,53
2005-01-03,01:45:00,52
2005-01-03,01:55:00,52
2005-01-03,02:20:00,52
2005-01-03,02:39:00,52
2005-01-03,02:55:00,50
2005-01-03,03:55:00,51
2005-01-03,04:55:00,51
2005-01-03,05:55:00,50
2005-01-03,06:55:00,51
2005-01-03,07:55:00,50
2005-01-03,08:55:00,51
2005-01-03,09:55:00,58
2005-01-03,10:55:00,60
2005-01-03,11:00:00,60
2005-01-03,11:55:00,65
2005-01-03,12:55:00,66
2005-01-03,13:55:00,61
2005-01-03,14:55:00,60
2005-01-03,15:55:00,64
2005-01-03,16:55:00,62
2005-01-03,17:00:00,62
2005-01-03,17:55:00,60
2005-01-03,18:55:00,58
2005-01-03,19:55:00,54
2005-01-03,20:55:00,54
2005-01-03,21:55:00,53
2005-01-03,22:55:00,52
2005-01-03,23:00:00,52
2005-01-03,23:55:00,52
2005-01-04,00:55:00,52
2005-01-04,01:55:00,51
2005-01-04,02:55:00,50
2005-01-04,03:55:00,50
2005-01-04,04:55:00,51
2005-01-04,05:00:00,51
2005-01-04,05:55:00,52
2005-01-04,06:55:00,50
2005-01-04,07:55:00,53
2005-01-04,08:55:00,55
2005-01-04,09:55:00,58
2005-01-04,10:55:00,55
2005-01-04,11:00:00,55
2005-01-04,11:55:00,52
2005-01-04,12:55:00,52
2005-01-04,13:55:00,54
2005-01-04,14:55:00,47
2005-01-04,15:55:00,51
2005-01-04,16:55:00,52
2005-01-04,17:00:00,52
2005-01-04,17:55:00,50
2005-01-04,18:55:00,46
2005-01-04,19:55:00,46
2005-01-04,20:55:00,46
2005-01-04,21:55:00,44
2005-01-04,22:55:00,44
2005-01-04,23:00:00,44
2005-01-04,23:38:00,41
2005-01-04,23:55:00,40
2005-01-05,00:55:00,42
2005-01-05,01:55:00,42
2005-01-05,02:55:00,41
2005-01-05,03:55:00,39
2005-01-05,04:55:00,37
2005-01-05,05:00:00,37
2005-01-05,05:55:00,38
2005-01-05,06:55:00,38
2005-01-05,07:55:00,37
2005-01-05,08:55:00,38
2005-01-05,09:55:00,43
2005-01-05,10:55:00,46
2005-01-05,11:00:00,46
2005-01-05,11:55:00,49
2005-01-05,12:55:00,50
2005-01-05,13:55:00,50
2005-01-05,14:55:00,51
2005-01-05,15:55:00,51
2005-01-05,16:55:00,50
2005-01-05,17:00:00,50
2005-01-05,17:55:00,48
2005-01-05,18:55:00,46
2005-01-05,19:55:00,45
2005-01-05,20:55:00,44
2005-01-05,21:55:00,41
2005-01-05,22:55:00,40
2005-01-05,23:00:00,40
2005-01-05,23:55:00,37
