DAY,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,AVG
01-01,64.0,72.0,61.0,64.0,72.0,68.0,47.0,80.0,53.0,70.0,41.0,69.0,55.0,78.0,64.0
01-02,62.0,78.0,65.0,61.0,73.0,70.0,63.0,76.0,60.0,75.0,44.0,67.0,56.0,76.0,66.0
01-03,66.0,69.0,65.0,71.0,68.0,70.0,60.0,79.0,60.0,76.0,50.0,70.0,63.0,74.0,67.0
01-04,58.0,71.0,67.0,73.0,56.0,72.0,58.0,76.0,57.0,68.0,65.0,58.0,69.0,75.0,66.0
01-05,51.0,75.0,56.0,72.0,54.0,72.0,57.0,75.0,62.0,63.0,74.0,62.0,69.0,78.0,66.0
01-06,56.0,77.0,54.0,63.0,54.0,70.0,65.0,73.0,65.0,68.0,77.0,59.0,62.0,75.0,66.0
01-07,65.0,79.0,62.0,58.0,59.0,71.0,68.0,74.0,56.0,72.0,78.0,52.0,70.0,73.0,67.0
01-08,71.0,72.0,71.0,62.0,69.0,65.0,59.0,57.0,61.0,69.0,63.0,50.0,80.0,78.0,66.0
01-09,69.0,69.0,75.0,61.0,67.0,70.0,63.0,62.0,70.0,66.0,69.0,53.0,77.0,75.0,68.0
01-10,70.0,74.0,75.0,61.0,61.0,68.0,59.0,68.0,66.0,65.0,67.0,54.0,71.0,62.0,66.0
01-11,70.0,74.0,71.0,65.0,64.0,71.0,67.0,65.0,47.0,70.0,70.0,55.0,70.0,66.0,66.0
01-12,53.0,70.0,65.0,65.0,70.0,73.0,69.0,61.0,46.0,70.0,65.0,64.0,72.0,71.0,65.0
01-13,59.0,78.0,50.0,63.0,71.0,71.0,70.0,67.0,48.0,67.0,65.0,67.0,69.0,78.0,66.0
01-14,66.0,74.0,45.0,64.0,71.0,61.0,68.0,70.0,43.0,68.0,59.0,65.0,69.0,79.0,64.0
01-15,71.0,62.0,50.0,63.0,77.0,69.0,71.0,67.0,46.0,73.0,67.0,63.0,54.0,76.0,65.0
01-16,76.0,51.0,56.0,60.0,78.0,70.0,71.0,62.0,59.0,74.0,70.0,60.0,57.0,70.0,65.0
01-17,75.0,61.0,60.0,54.0,78.0,63.0,75.0,64.0,69.0,76.0,73.0,69.0,63.0,70.0,68.0
01-18,76.0,69.0,64.0,57.0,78.0,69.0,76.0,68.0,74.0,76.0,76.0,72.0,62.0,74.0,71.0
01-19,79.0,61.0,51.0,63.0,80.0,64.0,77.0,72.0,75.0,77.0,77.0,72.0,59.0,78.0,70.0
01-20,77.0,59.0,52.0,66.0,80.0,63.0,70.0,73.0,76.0,77.0,76.0,68.0,56.0,69.0,69.0
01-21,63.0,63.0,49.0,65.0,79.0,62.0,70.0,72.0,79.0,77.0,69.0,68.0,57.0,53.0,66.0
01-22,69.0,65.0,47.0,66.0,63.0,57.0,72.0,60.0,81.0,75.0,59.0,76.0,64.0,59.0,65.0
01-23,67.0,69.0,54.0,65.0,68.0,51.0,67.0,68.0,80.0,72.0,60.0,81.0,68.0,66.0,67.0
01-24,67.0,72.0,62.0,61.0,70.0,53.0,67.0,58.0,64.0,66.0,70.0,65.0,54.0,73.0,64.0
01-25,71.0,69.0,61.0,65.0,72.0,58.0,66.0,64.0,76.0,74.0,73.0,62.0,52.0,75.0,67.0
