Date,Temp
2006-01-01,68
2006-01-02,79
2006-01-03,70
2006-01-04,70
2006-01-05,79
2006-01-06,79
2006-01-07,75
2006-01-08,72
2006-01-09,66
2006-01-10,72
2006-01-11,70
2006-01-12,68
2006-01-13,77
2006-01-14,73
2006-01-15,61
2006-01-16,55
2006-01-17,57
2006-01-18,63
2006-01-19,61
2006-01-20,61
2006-01-21,63
2006-01-22,64
2006-01-23,72
2006-01-24,77
2006-01-25,66
2006-01-26,64
2006-01-27,64
2006-01-28,63
2006-01-29,66
2006-01-30,72
2006-01-31,68
2006-02-01,70
2006-02-02,72
2006-02-03,73
2006-02-04,79
2006-02-05,73
2006-02-06,73
2006-02-07,79
2006-02-08,82
2006-02-09,72
2006-02-10,73
2006-02-11,72
2006-02-12,75
2006-02-13,75
2006-02-14,75
2006-02-15,77
2006-02-16,64
2006-02-17,66
2006-02-18,63
2006-02-19,63
2006-02-20,63
2006-02-21,64
2006-02-22,64
2006-02-23,70
2006-02-24,73
2006-02-25,75
2006-02-26,82
2006-02-27,81
2006-02-28,81
2006-03-01,72
2006-03-02,75
2006-03-03,79
2006-03-04,70
2006-03-05,77
2006-03-06,75
2006-03-07,75
2006-03-08,64
2006-03-09,66
2006-03-10,63
2006-03-11,52
2006-03-12,54
2006-03-13,57
2006-03-14,66
2006-03-15,70
2006-03-16,72
2006-03-17,70
2006-03-18,63
2006-03-19,46
2006-03-20,63
2006-03-21,57
2006-03-22,59
2006-03-23,77
2006-03-24,79
2006-03-25,84
2006-03-26,81
2006-03-27,77
2006-03-28,77
2006-03-29,73
2006-03-30,63
2006-03-31,77
2006-04-01,73
2006-04-02,79
2006-04-03,82
2006-04-04,81
2006-04-05,72
2006-04-06,68
2006-04-07,79
2006-04-08,84
2006-04-09,86
2006-04-10,75
2006-04-11,79
2006-04-12,91
2006-04-13,91
2006-04-14,90
2006-04-15,75
2006-04-16,82
2006-04-17,82
2006-04-18,79
2006-04-19,84
2006-04-20,86
2006-04-21,90
2006-04-22,90
2006-04-23,77
2006-04-24,77
2006-04-25,82
2006-04-26,90
2006-04-27,73
2006-04-28,73
2006-04-29,84
2006-04-30,93
2006-05-01,97
2006-05-02,97
2006-05-03,93
2006-05-04,91
2006-05-05,84
2006-05-06,88
2006-05-07,90
2006-05-08,91
2006-05-09,93
2006-05-10,97
2006-05-11,99
2006-05-12,99
2006-05-13,99
2006-05-14,100
2006-05-15,99
2006-05-16,100
2006-05-17,100
2006-05-18,102
2006-05-19,102
2006-05-20,102
2006-05-21,102
2006-05-22,82
2006-05-23,90
2006-05-24,99
2006-05-25,102
2006-05-26,99
2006-05-27,93
2006-05-28,86
2006-05-29,91
2006-05-30,93
2006-05-31,99
2006-06-01,106
2006-06-02,108
2006-06-03,108
2006-06-04,109
2006-06-05,108
2006-06-06,104
2006-06-07,102
2006-06-08,102
2006-06-09,104
2006-06-10,102
2006-06-11,104
2006-06-12,106
2006-06-13,108
2006-06-14,104
2006-06-15,100
2006-06-16,100
2006-06-17,104
2006-06-18,108
2006-06-19,109
2006-06-20,106
2006-06-21,106
2006-06-22,106
2006-06-23,102
2006-06-24,106
2006-06-25,108
2006-06-26,106
2006-06-27,102
2006-06-28,102
2006-06-29,104
2006-06-30,104
2006-07-01,108
2006-07-02,102
2006-07-03,102
2006-07-04,102
2006-07-05,93
2006-07-06,99
2006-07-07,99
2006-07-08,100
2006-07-09,108
2006-07-10,106
2006-07-11,108
2006-07-12,108
2006-07-13,109
2006-07-14,111
2006-07-15,111
2006-07-16,108
2006-07-17,102
2006-07-18,109
2006-07-19,108
2006-07-20,108
2006-07-21,115
2006-07-22,111
2006-07-23,109
2006-07-24,109
2006-07-25,106
2006-07-26,99
2006-07-27,93
2006-07-28,93
2006-07-29,91
2006-07-30,90
2006-07-31,95
2006-08-01,99
2006-08-02,99
2006-08-03,97
2006-08-04,97
2006-08-05,100
2006-08-06,104
2006-08-07,104
2006-08-08,104
2006-08-09,100
2006-08-10,102
2006-08-11,99
2006-08-12,99
2006-08-13,100
2006-08-14,100
2006-08-15,91
2006-08-16,93
2006-08-17,99
2006-08-18,102
2006-08-19,104
2006-08-20,102
2006-08-21,104
2006-08-22,95
2006-08-23,99
2006-08-24,88
2006-08-25,97
2006-08-26,100
2006-08-27,102
2006-08-28,104
2006-08-29,102
2006-08-30,99
2006-08-31,100
2006-09-01,104
2006-09-02,99
2006-09-03,91
2006-09-04,91
2006-09-05,93
2006-09-06,93
2006-09-07,84
2006-09-08,90
2006-09-09,88
2006-09-10,93
2006-09-11,97
2006-09-12,93
2006-09-13,93
2006-09-14,97
2006-09-15,91
2006-09-16,88
2006-09-17,90
2006-09-18,91
2006-09-19,93
2006-09-20,93
2006-09-21,88
2006-09-22,90
2006-09-23,84
2006-09-24,91
2006-09-25,97
2006-09-26,99
2006-09-27,99
2006-09-28,99
2006-09-29,99
2006-09-30,99
2006-10-01,99
2006-10-02,97
2006-10-03,97
2006-10-04,99
2006-10-05,93
2006-10-06,93
2006-10-07,88
2006-10-08,84
2006-10-09,82
2006-10-10,82
2006-10-11,86
2006-10-12,90
2006-10-13,91
2006-10-14,79
2006-10-15,75
2006-10-16,82
2006-10-17,79
2006-10-18,75
2006-10-19,77
2006-10-20,82
2006-10-21,84
2006-10-22,86
2006-10-23,88
2006-10-24,81
2006-10-25,81
2006-10-26,75
2006-10-27,79
2006-10-28,86
2006-10-29,81
2006-10-30,81
2006-10-31,79
2006-11-01,79
2006-11-02,81
2006-11-03,84
2006-11-04,82
2006-11-05,82
2006-11-06,84
2006-11-07,84
2006-11-08,88
2006-11-09,84
2006-11-10,81
2006-11-11,81
2006-11-12,73
2006-11-13,73
2006-11-14,75
2006-11-15,77
2006-11-16,79
2006-11-17,81
2006-11-18,81
2006-11-19,88
2006-11-20,86
2006-11-21,84
2006-11-22,81
2006-11-23,79
2006-11-24,79
2006-11-25,75
2006-11-26,70
2006-11-27,66
2006-11-28,64
2006-11-29,55
2006-11-30,52
2006-12-01,63
2006-12-02,64
2006-12-03,66
2006-12-04,68
2006-12-05,72
2006-12-06,72
2006-12-07,77
2006-12-08,70
2006-12-09,72
2006-12-10,66
2006-12-11,63
2006-12-12,64
2006-12-13,66
2006-12-14,70
2006-12-15,72
2006-12-16,77
2006-12-17,57
2006-12-18,57
2006-12-19,54
2006-12-20,52
2006-12-21,54
2006-12-22,46
2006-12-23,55
2006-12-24,61
2006-12-25,66
2006-12-26,70
2006-12-27,64
2006-12-28,48
2006-12-29,52
2006-12-30,57
2006-12-31,57
2007-01-01,59
2007-01-02,68
2007-01-03,64
2007-01-04,66
2007-01-05,57
2007-01-06,59
2007-01-07,64
2007-01-08,72
2007-01-09,77
2007-01-10,70
2007-01-11,72
2007-01-12,57
2007-01-13,48
2007-01-14,45
2007-01-15,54
2007-01-16,57
2007-01-17,61
2007-01-18,64
2007-01-19,48
2007-01-20,54
2007-01-21,45
2007-01-22,54
2007-01-23,57
2007-01-24,66
2007-01-25,66
2007-01-26,63
2007-01-27,66
2007-01-28,68
2007-01-29,70
2007-01-30,57
2007-01-31,54
2007-02-01,59
2007-02-02,61
2007-02-03,64
2007-02-04,70
2007-02-05,79
2007-02-06,79
2007-02-07,77
2007-02-08,77
2007-02-09,79
2007-02-10,77
2007-02-11,72
2007-02-12,70
2007-02-13,63
2007-02-14,61
2007-02-15,63
2007-02-16,70
