Date,Temp
2006-01-01,70
2006-01-02,73
2006-01-03,66
2006-01-04,72
2006-01-05,72
2006-01-06,76
2006-01-07,73
2006-01-08,71
2006-01-09,68
2006-01-10,72
2006-01-11,69
2006-01-12,68
2006-01-13,74
2006-01-14,72
2006-01-15,59
2006-01-16,47
2006-01-17,58
2006-01-18,71
2006-01-19,60
2006-01-20,60
2006-01-21,62
2006-01-22,63
2006-01-23,66
2006-01-24,69
2006-01-25,65
2006-01-26,62
2006-01-27,64
2006-01-28,60
2006-01-29,66
2006-01-30,74
2006-01-31,67
2006-02-01,62
2006-02-02,70
2006-02-03,70
2006-02-04,76
2006-02-05,73
2006-02-06,70
2006-02-07,68
2006-02-08,76
2006-02-09,64
2006-02-10,67
2006-02-11,70
2006-02-12,74
2006-02-13,77
2006-02-14,56
2006-02-15,70
2006-02-16,66
2006-02-17,55
2006-02-18,65
2006-02-19,63
2006-02-20,62
2006-02-21,60
2006-02-22,57
2006-02-23,67
2006-02-24,69
2006-02-25,71
2006-02-26,78
2006-02-27,75
2006-02-28,75
2006-03-01,69
2006-03-02,75
2006-03-03,72
2006-03-04,69
2006-03-05,77
2006-03-06,76
2006-03-07,62
2006-03-08,55
2006-03-09,60
2006-03-10,57
2006-03-11,55
2006-03-12,49
2006-03-13,58
2006-03-14,74
2006-03-15,73
2006-03-16,72
2006-03-17,69
2006-03-18,64
2006-03-19,45
2006-03-20,52
2006-03-21,62
2006-03-22,60
2006-03-23,71
2006-03-24,76
2006-03-25,76
2006-03-26,74
2006-03-27,74
2006-03-28,72
2006-03-29,71
2006-03-30,71
2006-03-31,75
2006-04-01,70
2006-04-02,78
2006-04-03,83
2006-04-04,81
2006-04-05,67
2006-04-06,68
2006-04-07,78
2006-04-08,82
2006-04-09,83
2006-04-10,71
2006-04-11,79
2006-04-12,85
2006-04-13,87
2006-04-14,86
2006-04-15,79
2006-04-16,79
2006-04-17,81
2006-04-18,81
2006-04-19,83
2006-04-20,82
2006-04-21,85
2006-04-22,84
2006-04-23,78
2006-04-24,77
2006-04-25,79
2006-04-26,82
2006-04-27,66
2006-04-28,68
2006-04-29,81
2006-04-30,85
2006-05-01,97
2006-05-02,87
2006-05-03,85
2006-05-04,82
2006-05-05,78
2006-05-06,82
2006-05-07,81
2006-05-08,86
2006-05-09,87
2006-05-10,90
2006-05-11,92
2006-05-12,92
2006-05-13,91
2006-05-14,94
2006-05-15,93
2006-05-16,91
2006-05-17,88
2006-05-18,91
2006-05-19,94
2006-05-20,94
2006-05-21,93
2006-05-22,82
2006-05-23,88
2006-05-24,97
2006-05-25,93
2006-05-26,88
2006-05-27,86
2006-05-28,82
2006-05-29,87
2006-05-30,90
2006-05-31,95
2006-06-01,97
2006-06-02,94
2006-06-03,98
2006-06-04,99
2006-06-05,94
2006-06-06,93
2006-06-07,93
2006-06-08,97
2006-06-09,95
2006-06-10,94
2006-06-11,95
2006-06-12,97
2006-06-13,102
2006-06-14,103
2006-06-15,97
2006-06-16,90
2006-06-17,97
2006-06-18,101
2006-06-19,99
2006-06-20,99
2006-06-21,95
2006-06-22,92
2006-06-23,97
2006-06-24,97
2006-06-25,97
2006-06-26,92
2006-06-27,90
2006-06-28,92
2006-06-29,93
2006-06-30,87
2006-07-01,92
2006-07-02,90
2006-07-03,91
2006-07-04,91
2006-07-05,92
2006-07-06,90
2006-07-07,90
2006-07-08,93
2006-07-09,97
2006-07-10,97
2006-07-11,99
2006-07-12,99
2006-07-13,97
2006-07-14,101
2006-07-15,99
2006-07-16,94
2006-07-17,92
2006-07-18,99
2006-07-19,98
2006-07-20,95
2006-07-21,102
2006-07-22,100
2006-07-23,98
2006-07-24,100
2006-07-25,92
2006-07-26,89
2006-07-27,75
2006-07-28,83
2006-07-29,81
2006-07-30,77
2006-07-31,82
2006-08-01,83
2006-08-02,88
2006-08-03,76
2006-08-04,79
2006-08-05,88
2006-08-06,92
2006-08-07,88
2006-08-08,93
2006-08-09,86
2006-08-10,91
2006-08-11,90
2006-08-12,88
2006-08-13,80
2006-08-14,82
2006-08-15,84
2006-08-16,74
2006-08-17,86
2006-08-18,89
2006-08-19,91
2006-08-20,91
2006-08-21,88
2006-08-22,85
2006-08-23,88
2006-08-24,85
2006-08-25,84
2006-08-26,88
2006-08-27,90
2006-08-28,93
2006-08-29,89
2006-08-30,88
2006-08-31,90
2006-09-01,90
2006-09-02,87
2006-09-03,76
2006-09-04,77
2006-09-05,82
2006-09-06,82
2006-09-07,75
2006-09-08,79
2006-09-09,81
2006-09-10,82
2006-09-11,83
2006-09-12,81
2006-09-13,82
2006-09-14,83
2006-09-15,81
2006-09-16,82
2006-09-17,82
2006-09-18,83
2006-09-19,85
2006-09-20,83
2006-09-21,81
2006-09-22,81
2006-09-23,80
2006-09-24,85
2006-09-25,89
2006-09-26,90
2006-09-27,90
2006-09-28,89
2006-09-29,88
2006-09-30,89
2006-10-01,87
2006-10-02,87
2006-10-03,88
2006-10-04,91
2006-10-05,87
2006-10-06,79
2006-10-07,81
2006-10-08,78
2006-10-09,76
2006-10-10,76
2006-10-11,81
2006-10-12,82
2006-10-13,84
2006-10-14,76
2006-10-15,64
2006-10-16,74
2006-10-17,74
2006-10-18,69
2006-10-19,73
2006-10-20,80
2006-10-21,81
2006-10-22,84
2006-10-23,79
2006-10-24,72
2006-10-25,75
2006-10-26,72
2006-10-27,79
2006-10-28,80
2006-10-29,75
2006-10-30,75
2006-10-31,75
2006-11-01,77
2006-11-02,82
2006-11-03,82
2006-11-04,80
2006-11-05,77
2006-11-06,82
2006-11-07,85
2006-11-08,83
2006-11-09,77
2006-11-10,75
2006-11-11,80
2006-11-12,70
2006-11-13,71
2006-11-14,72
2006-11-15,73
2006-11-16,82
2006-11-17,82
2006-11-18,80
2006-11-19,80
2006-11-20,81
2006-11-21,80
2006-11-22,77
2006-11-23,76
2006-11-24,73
2006-11-25,70
2006-11-26,67
2006-11-27,63
2006-11-28,62
2006-11-29,55
2006-11-30,54
2006-12-01,68
2006-12-02,69
2006-12-03,60
2006-12-04,66
2006-12-05,72
2006-12-06,73
2006-12-07,69
2006-12-08,63
2006-12-09,66
2006-12-10,61
2006-12-11,60
2006-12-12,67
2006-12-13,68
2006-12-14,71
2006-12-15,75
2006-12-16,71
2006-12-17,60
2006-12-18,52
2006-12-19,46
2006-12-20,47
2006-12-21,57
2006-12-22,58
2006-12-23,56
2006-12-24,62
2006-12-25,70
