County,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Apache,213,161,167,148,165,221,144,194,165,191,227
Cochise,180,187,190,170,220,233,167,174,159,184,212
Coconino,207,178,175,147,165,215,167,217,174,179,210
Gila,0,0,0,0,149,178,157,183,184,199,221
Graham,160,145,189,154,192,228,188,185,176,187,221
Greenlee,0,0,0,0,0,0,0,0,0,0,0
LaPaz,0,0,0,49,147,199,160,96,0,0,0
Maricopa,198,167,177,169,180,201,192,196,186,186,216
Mohave,192,167,185,153,153,200,182,198,204,190,225
Navajo,188,174,165,144,166,227,151,204,177,200,237
Pima,181,160,184,168,180,210,194,200,188,201,236
Pinal,182,178,195,169,176,199,175,200,189,152,103
SantaCruz,158,151,182,161,196,208,175,192,167,202,237
Yavapai,208,178,177,160,179,212,185,208,176,186,214
Yuma,180,198,180,152,163,188,178,221,192,182,194
