Date,Temp
2005-01-01,48
2005-01-02,46
2005-01-03,41
2005-01-04,38
2005-01-05,34
2005-01-06,34
2005-01-07,36
2005-01-08,45
2005-01-09,55
2005-01-10,53
2005-01-11,48
2005-01-12,43
2005-01-13,46
2005-01-14,53
2005-01-15,58
2005-01-16,58
2005-01-17,60
2005-01-18,61
2005-01-19,65
2005-01-20,59
2005-01-21,57
2005-01-22,62
2005-01-23,61
2005-01-24,52
2005-01-25,55
2005-01-26,47
2005-01-27,48
2005-01-28,51
2005-01-29,39
2005-01-30,46
2005-01-31,48
2005-02-01,47
2005-02-02,47
2005-02-03,50
2005-02-04,54
2005-02-05,53
2005-02-06,48
2005-02-07,44
2005-02-08,48
2005-02-09,54
2005-02-10,56
2005-02-11,50
2005-02-12,47
2005-02-13,56
2005-02-14,55
2005-02-15,49
2005-02-16,55
2005-02-17,59
2005-02-18,52
2005-02-19,48
2005-02-20,48
2005-02-21,50
2005-02-22,50
2005-02-23,46
2005-02-24,49
2005-02-25,48
2005-02-26,48
2005-02-27,51
2005-02-28,55
2005-03-01,55
2005-03-02,57
2005-03-03,53
2005-03-04,55
2005-03-05,49
2005-03-06,50
2005-03-07,62
2005-03-08,67
2005-03-09,69
2005-03-10,71
2005-03-11,70
2005-03-12,70
2005-03-13,66
2005-03-14,50
2005-03-15,49
2005-03-16,54
2005-03-17,58
2005-03-18,50
2005-03-19,46
2005-03-20,52
2005-03-21,55
2005-03-22,58
2005-03-23,51
2005-03-24,47
2005-03-25,51
2005-03-26,51
2005-03-27,62
2005-03-28,58
2005-03-29,54
2005-03-30,54
2005-03-31,54
2005-04-01,65
2005-04-02,68
2005-04-03,67
2005-04-04,57
2005-04-05,64
2005-04-06,73
2005-04-07,75
2005-04-08,62
2005-04-09,46
2005-04-10,57
2005-04-11,63
2005-04-12,71
2005-04-13,73
2005-04-14,74
2005-04-15,74
2005-04-16,76
2005-04-17,73
2005-04-18,69
2005-04-19,60
2005-04-20,61
2005-04-21,69
2005-04-22,69
2005-04-23,72
2005-04-24,54
2005-04-25,58
2005-04-26,63
2005-04-27,64
2005-04-28,52
2005-04-29,59
2005-04-30,66
2005-05-01,69
2005-05-02,69
