DAY,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,AVG
01-01,48.0,55.0,50.0,51.0,59.0,55.0,26.0,62.0,38.0,61.0,29.0,50.0,43.0,63.0,49.0
01-02,46.0,58.0,55.0,54.0,58.0,58.0,32.0,65.0,45.0,60.0,34.0,54.0,39.0,60.0,51.0
01-03,41.0,54.0,60.0,55.0,49.0,55.0,40.0,61.0,42.0,61.0,44.0,58.0,46.0,59.0,52.0
01-04,38.0,61.0,56.0,55.0,38.0,56.0,41.0,66.0,45.0,59.0,51.0,48.0,55.0,66.0,52.0
01-05,34.0,64.0,41.0,47.0,45.0,57.0,47.0,64.0,50.0,53.0,58.0,47.0,54.0,67.0,52.0
01-06,34.0,66.0,46.0,45.0,48.0,59.0,46.0,65.0,51.0,55.0,61.0,40.0,45.0,63.0,52.0
01-07,36.0,62.0,50.0,43.0,58.0,58.0,50.0,59.0,51.0,55.0,67.0,39.0,49.0,60.0,53.0
01-08,45.0,59.0,62.0,43.0,64.0,53.0,51.0,51.0,57.0,58.0,63.0,41.0,63.0,60.0,55.0
01-09,55.0,52.0,64.0,50.0,50.0,57.0,47.0,54.0,61.0,55.0,62.0,43.0,60.0,60.0,55.0
01-10,53.0,56.0,57.0,51.0,52.0,51.0,43.0,61.0,48.0,59.0,45.0,39.0,55.0,47.0,51.0
01-11,48.0,59.0,55.0,57.0,57.0,59.0,41.0,57.0,33.0,62.0,49.0,44.0,54.0,55.0,52.0
01-12,43.0,58.0,41.0,51.0,61.0,60.0,54.0,51.0,32.0,57.0,54.0,51.0,46.0,61.0,51.0
01-13,46.0,63.0,32.0,51.0,59.0,57.0,56.0,55.0,32.0,57.0,48.0,57.0,48.0,60.0,52.0
01-14,53.0,59.0,32.0,50.0,62.0,51.0,59.0,60.0,30.0,62.0,52.0,55.0,52.0,63.0,53.0
01-15,58.0,45.0,38.0,53.0,62.0,58.0,58.0,53.0,39.0,64.0,58.0,44.0,49.0,64.0,53.0
01-16,58.0,42.0,41.0,38.0,62.0,55.0,61.0,49.0,50.0,63.0,61.0,51.0,48.0,62.0,53.0
01-17,60.0,53.0,46.0,39.0,62.0,54.0,68.0,52.0,55.0,61.0,63.0,58.0,50.0,62.0,56.0
01-18,61.0,56.0,51.0,43.0,61.0,44.0,64.0,57.0,55.0,64.0,64.0,57.0,52.0,62.0,56.0
01-19,65.0,42.0,43.0,49.0,60.0,46.0,61.0,63.0,57.0,64.0,66.0,55.0,40.0,62.0,55.0
01-20,59.0,46.0,40.0,52.0,65.0,47.0,53.0,62.0,59.0,63.0,57.0,57.0,38.0,50.0,53.0
01-21,57.0,49.0,33.0,45.0,64.0,48.0,61.0,52.0,61.0,60.0,51.0,56.0,39.0,40.0,51.0
01-22,62.0,50.0,45.0,50.0,59.0,37.0,61.0,44.0,64.0,63.0,47.0,60.0,40.0,47.0,52.0
01-23,61.0,55.0,52.0,51.0,56.0,37.0,53.0,48.0,64.0,57.0,53.0,62.0,41.0,53.0,53.0
01-24,52.0,58.0,57.0,40.0,57.0,50.0,57.0,50.0,54.0,57.0,61.0,52.0,37.0,60.0,53.0
01-25,55.0,52.0,59.0,45.0,53.0,48.0,55.0,60.0,60.0,62.0,68.0,50.0,38.0,58.0,54.0
01-26,47.0,52.0,56.0,53.0,40.0,54.0,53.0,65.0,49.0,62.0,61.0,52.0,38.0,52.0,52.0
01-27,48.0,48.0,50.0,49.0,43.0,49.0,57.0,57.0,50.0,61.0,59.0,60.0,39.0,56.0,52.0
01-28,51.0,52.0,53.0,43.0,54.0,50.0,61.0,59.0,41.0,59.0,60.0,67.0,51.0,64.0,55.0
01-29,39.0,57.0,58.0,43.0,57.0,52.0,59.0,61.0,41.0,66.0,61.0,63.0,54.0,65.0,55.0
01-30,46.0,64.0,45.0,38.0,62.0,51.0,54.0,60.0,49.0,60.0,48.0,59.0,60.0,67.0,54.0
01-31,48.0,56.0,41.0,41.0,62.0,51.0,45.0,59.0,56.0,50.0,52.0,55.0,64.0,70.0,54.0
02-01,47.0,62.0,44.0,48.0,60.0,52.0,40.0,56.0,62.0,46.0,60.0,35.0,63.0,71.0,53.0
02-02,47.0,63.0,48.0,47.0,62.0,55.0,24.0,46.0,61.0,47.0,66.0,35.0,61.0,68.0,52.0
02-03,50.0,62.0,58.0,39.0,65.0,56.0,44.0,49.0,50.0,39.0,67.0,40.0,60.0,67.0,53.0
02-04,54.0,65.0,64.0,37.0,65.0,53.0,56.0,52.0,58.0,45.0,69.0,50.0,61.0,70.0,57.0
02-05,53.0,60.0,67.0,38.0,63.0,51.0,59.0,53.0,62.0,45.0,71.0,50.0,61.0,68.0,57.0
02-06,48.0,61.0,65.0,49.0,56.0,50.0,55.0,53.0,56.0,44.0,70.0,58.0,54.0,65.0,56.0
02-07,44.0,66.0,65.0,59.0,52.0,43.0,60.0,54.0,57.0,50.0,68.0,65.0,60.0,63.0,58.0
02-08,48.0,67.0,63.0,56.0,40.0,44.0,47.0,59.0,48.0,60.0,71.0,70.0,66.0,69.0,58.0
02-09,54.0,62.0,63.0,64.0,37.0,46.0,46.0,65.0,34.0,63.0,71.0,69.0,73.0,70.0,58.0
02-10,56.0,66.0,63.0,66.0,36.0,44.0,50.0,65.0,38.0,61.0,67.0,71.0,71.0,61.0,58.0
02-11,50.0,57.0,55.0,63.0,43.0,51.0,60.0,61.0,38.0,60.0,62.0,74.0,62.0,58.0,57.0
