Date,Temp
2005-01-01,64
2005-01-02,63
2005-01-03,59
2005-01-04,57
2005-01-05,61
2005-01-06,57
2005-01-07,59
2005-01-08,70
2005-01-09,70
2005-01-10,72
2005-01-11,75
2005-01-12,66
2005-01-13,64
2005-01-14,66
2005-01-15,70
2005-01-16,75
2005-01-17,75
2005-01-18,79
2005-01-19,81
2005-01-20,75
2005-01-21,70
2005-01-22,73
2005-01-23,77
2005-01-24,73
2005-01-25,72
2005-01-26,66
2005-01-27,66
2005-01-28,70
2005-01-29,64
2005-01-30,68
2005-01-31,70
2005-02-01,70
2005-02-02,72
2005-02-03,72
2005-02-04,75
2005-02-05,72
2005-02-06,70
2005-02-07,66
2005-02-08,70
2005-02-09,68
2005-02-10,66
2005-02-11,59
2005-02-12,66
2005-02-13,70
2005-02-14,70
2005-02-15,66
2005-02-16,73
2005-02-17,70
2005-02-18,63
2005-02-19,70
2005-02-20,70
2005-02-21,64
2005-02-22,70
2005-02-23,64
2005-02-24,68
2005-02-25,72
2005-02-26,72
2005-02-27,73
2005-02-28,73
2005-03-01,75
2005-03-02,73
2005-03-03,73
2005-03-04,73
2005-03-05,66
2005-03-06,70
2005-03-07,75
2005-03-08,84
2005-03-09,88
2005-03-10,90
2005-03-11,90
2005-03-12,90
2005-03-13,84
2005-03-14,77
2005-03-15,72
2005-03-16,73
2005-03-17,81
2005-03-18,72
2005-03-19,75
2005-03-20,75
2005-03-21,77
2005-03-22,81
2005-03-23,72
2005-03-24,70
2005-03-25,72
2005-03-26,75
2005-03-27,79
2005-03-28,81
2005-03-29,75
2005-03-30,79
2005-03-31,75
2005-04-01,82
2005-04-02,86
2005-04-03,88
2005-04-04,75
2005-04-05,82
2005-04-06,88
2005-04-07,91
2005-04-08,79
2005-04-09,75
2005-04-10,81
2005-04-11,84
2005-04-12,90
2005-04-13,90
2005-04-14,90
2005-04-15,91
2005-04-16,93
2005-04-17,93
2005-04-18,90
2005-04-19,75
2005-04-20,81
2005-04-21,88
2005-04-22,84
2005-04-23,88
2005-04-24,77
2005-04-25,79
2005-04-26,84
2005-04-27,84
2005-04-28,77
2005-04-29,81
2005-04-30,88
2005-05-01,88
2005-05-02,90
2005-05-03,93
2005-05-04,93
2005-05-05,90
2005-05-06,81
2005-05-07,81
2005-05-08,86
2005-05-09,90
2005-05-10,79
2005-05-11,84
2005-05-12,91
2005-05-13,97
2005-05-14,99
2005-05-15,100
2005-05-16,99
2005-05-17,88
2005-05-18,93
2005-05-19,99
2005-05-20,102
2005-05-21,108
2005-05-22,109
2005-05-23,100
2005-05-24,100
2005-05-25,100
2005-05-26,104
2005-05-27,97
2005-05-28,91
2005-05-29,99
2005-05-30,93
2005-05-31,99
2005-06-01,102
2005-06-02,93
2005-06-03,90
2005-06-04,93
2005-06-05,93
2005-06-06,91
2005-06-07,91
2005-06-08,95
2005-06-09,93
2005-06-10,99
2005-06-11,97
2005-06-12,93
2005-06-13,99
2005-06-14,104
2005-06-15,102
2005-06-16,102
2005-06-17,99
2005-06-18,97
2005-06-19,104
2005-06-20,108
2005-06-21,111
2005-06-22,111
2005-06-23,108
2005-06-24,108
2005-06-25,106
2005-06-26,100
2005-06-27,106
2005-06-28,102
2005-06-29,108
2005-06-30,111
2005-07-01,106
2005-07-02,106
2005-07-03,108
2005-07-04,109
2005-07-05,109
2005-07-06,108
2005-07-07,108
2005-07-08,108
2005-07-09,106
2005-07-10,108
2005-07-11,109
2005-07-12,111
2005-07-13,111
2005-07-14,109
2005-07-15,111
2005-07-16,113
2005-07-17,117
2005-07-18,111
2005-07-19,109
2005-07-20,106
2005-07-21,109
2005-07-22,111
2005-07-23,100
2005-07-24,99
2005-07-25,106
2005-07-26,108
2005-07-27,109
2005-07-28,108
2005-07-29,106
2005-07-30,104
2005-07-31,106
2005-08-01,102
2005-08-02,104
2005-08-03,100
2005-08-04,104
2005-08-05,106
2005-08-06,106
2005-08-07,106
2005-08-08,99
2005-08-09,99
2005-08-10,97
2005-08-11,100
2005-08-12,102
2005-08-13,100
2005-08-14,102
2005-08-15,100
2005-08-16,102
2005-08-17,104
2005-08-18,102
2005-08-19,104
2005-08-20,108
2005-08-21,111
2005-08-22,111
2005-08-23,104
2005-08-24,104
2005-08-25,106
2005-08-26,109
2005-08-27,111
2005-08-28,111
2005-08-29,113
2005-08-30,109
2005-08-31,106
2005-09-01,106
2005-09-02,108
2005-09-03,102
2005-09-04,104
2005-09-05,106
2005-09-06,106
2005-09-07,108
2005-09-08,106
2005-09-09,99
2005-09-10,97
2005-09-11,97
2005-09-12,93
2005-09-13,93
2005-09-14,93
2005-09-15,97
2005-09-16,93
2005-09-17,97
2005-09-18,99
2005-09-19,100
2005-09-20,102
2005-09-21,100
2005-09-22,100
2005-09-23,100
2005-09-24,99
2005-09-25,99
2005-09-26,102
2005-09-27,100
2005-09-28,99
2005-09-29,100
2005-09-30,100
2005-10-01,100
2005-10-02,99
2005-10-03,100
2005-10-04,93
2005-10-05,90
2005-10-06,93
2005-10-07,99
2005-10-08,93
2005-10-09,91
2005-10-10,88
2005-10-11,90
2005-10-12,91
2005-10-13,97
2005-10-14,97
2005-10-15,91
2005-10-16,77
2005-10-17,75
2005-10-18,75
2005-10-19,79
2005-10-20,84
2005-10-21,90
2005-10-22,88
2005-10-23,90
2005-10-24,91
2005-10-25,81
2005-10-26,84
2005-10-27,86
2005-10-28,81
2005-10-29,82
2005-10-30,84
2005-10-31,88
2005-11-01,90
2005-11-02,88
2005-11-03,81
2005-11-04,82
2005-11-05,82
2005-11-06,82
2005-11-07,82
2005-11-08,86
2005-11-09,81
2005-11-10,81
2005-11-11,75
2005-11-12,79
2005-11-13,82
2005-11-14,86
2005-11-15,79
2005-11-16,77
2005-11-17,81
2005-11-18,79
2005-11-19,79
2005-11-20,82
2005-11-21,81
2005-11-22,75
2005-11-23,75
2005-11-24,81
2005-11-25,82
2005-11-26,75
2005-11-27,63
2005-11-28,64
2005-11-29,66
2005-11-30,73
2005-12-01,73
2005-12-02,68
2005-12-03,72
2005-12-04,64
2005-12-05,63
2005-12-06,68
2005-12-07,66
2005-12-08,66
2005-12-09,68
2005-12-10,70
2005-12-11,70
2005-12-12,64
2005-12-13,68
2005-12-14,72
2005-12-15,59
2005-12-16,61
2005-12-17,61
2005-12-18,61
2005-12-19,70
2005-12-20,72
2005-12-21,79
2005-12-22,79
2005-12-23,73
2005-12-24,81
2005-12-25,79
2005-12-26,73
2005-12-27,73
2005-12-28,75
2005-12-29,72
2005-12-30,72
2005-12-31,70
2006-01-01,70
2006-01-02,73
2006-01-03,72
2006-01-04,72
2006-01-05,77
2006-01-06,79
2006-01-07,73
2006-01-08,73
2006-01-09,72
2006-01-10,72
2006-01-11,72
2006-01-12,72
2006-01-13,73
2006-01-14,72
2006-01-15,64
2006-01-16,63
2006-01-17,66
2006-01-18,68
2006-01-19,66
2006-01-20,66
2006-01-21,64
2006-01-22,66
2006-01-23,70
2006-01-24,72
2006-01-25,66
2006-01-26,70
2006-01-27,68
2006-01-28,70
2006-01-29,72
2006-01-30,75
2006-01-31,75
2006-02-01,75
2006-02-02,75
2006-02-03,82
2006-02-04,82
2006-02-05,81
2006-02-06,73
2006-02-07,75
2006-02-08,81
2006-02-09,81
2006-02-10,77
2006-02-11,77
2006-02-12,79
2006-02-13,82
2006-02-14,79
2006-02-15,73
2006-02-16,64
2006-02-17,63
2006-02-18,64
2006-02-19,64
2006-02-20,64
2006-02-21,66
2006-02-22,72
2006-02-23,75
2006-02-24,79
2006-02-25,77
2006-02-26,81
2006-02-27,82
2006-02-28,79
2006-03-01,73
2006-03-02,73
2006-03-03,73
2006-03-04,70
2006-03-05,75
2006-03-06,72
2006-03-07,75
2006-03-08,72
2006-03-09,70
2006-03-10,66
2006-03-11,54
2006-03-12,61
2006-03-13,64
2006-03-14,72
2006-03-15,73
2006-03-16,75
2006-03-17,75
2006-03-18,66
2006-03-19,64
2006-03-20,66
2006-03-21,66
2006-03-22,73
2006-03-23,82
2006-03-24,88
2006-03-25,86
2006-03-26,81
2006-03-27,84
2006-03-28,84
2006-03-29,75
2006-03-30,72
2006-03-31,73
2006-04-01,77
2006-04-02,81
2006-04-03,84
2006-04-04,86
2006-04-05,75
2006-04-06,73
2006-04-07,84
2006-04-08,84
2006-04-09,88
2006-04-10,79
2006-04-11,81
2006-04-12,91
2006-04-13,97
2006-04-14,91
2006-04-15,79
2006-04-16,82
2006-04-17,79
2006-04-18,82
2006-04-19,88
2006-04-20,90
2006-04-21,90
2006-04-22,81
2006-04-23,73
2006-04-24,79
2006-04-25,86
2006-04-26,79
2006-04-27,73
2006-04-28,84
2006-04-29,90
2006-04-30,97
2006-05-01,99
2006-05-02,99
2006-05-03,93
2006-05-04,90
2006-05-05,86
2006-05-06,91
2006-05-07,91
2006-05-08,95
2006-05-09,93
2006-05-10,97
2006-05-11,100
2006-05-12,102
2006-05-13,100
2006-05-14,100
2006-05-15,102
2006-05-16,99
2006-05-17,102
2006-05-18,102
2006-05-19,104
2006-05-20,102
2006-05-21,100
2006-05-22,82
2006-05-23,91
2006-05-24,102
2006-05-25,102
2006-05-26,99
2006-05-27,93
2006-05-28,88
2006-05-29,93
2006-05-30,97
2006-05-31,102
2006-06-01,108
2006-06-02,109
2006-06-03,111
2006-06-04,109
2006-06-05,108
2006-06-06,102
2006-06-07,106
2006-06-08,104
2006-06-09,104
2006-06-10,102
2006-06-11,102
2006-06-12,104
2006-06-13,108
2006-06-14,102
2006-06-15,102
2006-06-16,106
2006-06-17,108
2006-06-18,109
2006-06-19,109
2006-06-20,108
2006-06-21,106
2006-06-22,108
2006-06-23,108
2006-06-24,108
2006-06-25,111
2006-06-26,108
2006-06-27,106
2006-06-28,104
2006-06-29,108
2006-06-30,109
2006-07-01,106
2006-07-02,104
2006-07-03,106
2006-07-04,106
2006-07-05,104
2006-07-06,106
2006-07-07,104
2006-07-08,109
2006-07-09,111
2006-07-10,109
2006-07-11,109
2006-07-12,109
2006-07-13,111
2006-07-14,111
2006-07-15,111
2006-07-16,106
2006-07-17,104
2006-07-18,109
2006-07-19,109
2006-07-20,111
2006-07-21,118
2006-07-22,117
2006-07-23,113
2006-07-24,113
2006-07-25,106
2006-07-26,102
2006-07-27,102
2006-07-28,102
2006-07-29,100
2006-07-30,100
2006-07-31,102
2006-08-01,100
2006-08-02,100
2006-08-03,102
2006-08-04,102
2006-08-05,102
2006-08-06,106
2006-08-07,108
2006-08-08,106
2006-08-09,106
2006-08-10,106
2006-08-11,106
2006-08-12,106
2006-08-13,106
2006-08-14,106
2006-08-15,106
2006-08-16,104
2006-08-17,106
2006-08-18,106
2006-08-19,109
2006-08-20,109
2006-08-21,109
2006-08-22,106
2006-08-23,106
2006-08-24,106
2006-08-25,104
2006-08-26,106
2006-08-27,109
2006-08-28,111
2006-08-29,108
2006-08-30,104
2006-08-31,106
2006-09-01,108
2006-09-02,102
2006-09-03,102
2006-09-04,99
2006-09-05,102
2006-09-06,102
2006-09-07,93
2006-09-08,97
2006-09-09,99
2006-09-10,99
2006-09-11,102
2006-09-12,102
2006-09-13,99
2006-09-14,100
2006-09-15,97
2006-09-16,91
2006-09-17,95
2006-09-18,95
2006-09-19,97
2006-09-20,97
2006-09-21,93
2006-09-22,91
2006-09-23,90
2006-09-24,95
2006-09-25,100
2006-09-26,102
2006-09-27,100
2006-09-28,104
2006-09-29,104
2006-09-30,100
2006-10-01,100
2006-10-02,97
2006-10-03,97
2006-10-04,93
2006-10-05,93
2006-10-06,82
2006-10-07,84
2006-10-08,86
2006-10-09,88
2006-10-10,88
2006-10-11,90
2006-10-12,91
2006-10-13,88
2006-10-14,79
2006-10-15,81
2006-10-16,86
2006-10-17,81
2006-10-18,81
2006-10-19,82
2006-10-20,88
2006-10-21,91
2006-10-22,90
2006-10-23,90
2006-10-24,75
2006-10-25,82
2006-10-26,79
2006-10-27,82
2006-10-28,88
2006-10-29,84
2006-10-30,82
2006-10-31,81
2006-11-01,82
2006-11-02,84
2006-11-03,88
2006-11-04,86
2006-11-05,86
2006-11-06,88
2006-11-07,91
2006-11-08,90
2006-11-09,84
2006-11-10,82
2006-11-11,81
2006-11-12,79
2006-11-13,75
2006-11-14,81
2006-11-15,81
2006-11-16,82
2006-11-17,82
2006-11-18,84
2006-11-19,88
2006-11-20,88
2006-11-21,82
2006-11-22,84
2006-11-23,81
2006-11-24,77
2006-11-25,72
2006-11-26,72
2006-11-27,70
2006-11-28,66
2006-11-29,59
2006-11-30,57
2006-12-01,65
2006-12-02,70
2006-12-03,65
2006-12-04,67
2006-12-05,71
2006-12-06,73
2006-12-07,77
2006-12-08,76
2006-12-09,73
2006-12-10,70
2006-12-11,69
2006-12-12,69
2006-12-13,71
2006-12-14,75
2006-12-15,76
2006-12-16,67
2006-12-17,62
2006-12-18,59
2006-12-19,57
2006-12-20,58
2006-12-21,62
2006-12-22,63
2006-12-23,67
2006-12-24,68
2006-12-25,71
2006-12-26,72
2006-12-27,68
2006-12-28,64
2006-12-29,66
2006-12-30,69
2006-12-31,66
2007-01-01,68
2007-01-02,71
2007-01-03,73
2007-01-04,72
2007-01-05,64
2007-01-06,61
2007-01-07,69
2007-01-08,73
2007-01-09,77
2007-01-10,67
2007-01-11,72
2007-01-12,58
2007-01-13,49
2007-01-14,51
2007-01-15,54
2007-01-16,59
2007-01-17,61
2007-01-18,60
2007-01-19,59
2007-01-20,61
2007-01-21,60
2007-01-22,65
2007-01-23,67
2007-01-24,71
2007-01-25,74
2007-01-26,71
2007-01-27,72
2007-01-28,69
2007-01-29,73
2007-01-30,68
2007-01-31,65
2007-02-01,65
2007-02-02,67
2007-02-03,71
2007-02-04,77
2007-02-05,83
2007-02-06,79
2007-02-07,79
2007-02-08,80
2007-02-09,77
2007-02-10,79
2007-02-11,76
2007-02-12,70
2007-02-13,69
2007-02-14,71
2007-02-15,75
2007-02-16,81
2007-02-17,84
2007-02-18,81
2007-02-19,67
2007-02-20,70
2007-02-21,73
2007-02-22,77
2007-02-23,64
2007-02-24,67
2007-02-25,73
2007-02-26,73
2007-02-27,73
2007-02-28,64
2007-03-01,65
2007-03-02,69
2007-03-03,72
2007-03-04,75
2007-03-05,81
2007-03-06,82
2007-03-07,85
2007-03-08,87
2007-03-09,87
2007-03-10,90
2007-03-11,90
2007-03-12,93
2007-03-13,93
2007-03-14,92
2007-03-15,92
2007-03-16,98
2007-03-17,100
2007-03-18,92
2007-03-19,88
2007-03-20,88
2007-03-21,72
2007-03-22,79
2007-03-23,70
2007-03-24,76
2007-03-25,82
2007-03-26,87
2007-03-27,72
2007-03-28,72
2007-03-29,77
2007-03-30,80
2007-03-31,85
2007-04-01,91
2007-04-02,92
2007-04-03,92
2007-04-04,92
2007-04-05,91
2007-04-06,91
2007-04-07,91
2007-04-08,84
2007-04-09,84
2007-04-10,84
2007-04-11,90
2007-04-12,79
2007-04-13,83
2007-04-14,88
2007-04-15,71
2007-04-16,68
2007-04-17,85
2007-04-18,84
2007-04-19,78
2007-04-20,72
