,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Apache,522,510,530,544,584,471,607,601,646,653,689
Cochise,1093,1185,1122,1218,1183,1204,1266,1201,1305,1342,1344
Coconino,621,675,676,678,722,707,702,732,814,857,859
Gila,666,718,646,661,682,655,696,747,814,832,723
Graham,282,294,271,302,245,300,275,283,251,278,305
Greenlee,63,52,50,55,71,64,46,52,69,52,65
La Paz,204,200,227,200,186,225,247,253,254,270,320
Maricopa,24417,24304,24349,24438,25467,25785,26906,27711,28945,30311,30798
Mohave,2153,2461,2260,2368,2424,2482,2686,2540,3024,3181,3144
Navajo,888,793,825,819,899,897,976,937,907,1010,1059
Pima,7899,8075,8065,8163,8392,8713,8592,8725,9241,9492,9527
Pinal,2033,2023,1994,2258,2380,2440,2457,2629,2968,2991,3110
Santa Cruz,263,252,284,262,247,303,286,275,294,301,297
Yavapai,2342,2373,2303,2436,2496,2616,2724,2772,2918,2955,3114
Yuma,1180,1105,1306,1279,1350,1386,1320,1425,1427,1506,1491
Unknown,14,108,157,190,219,211,143,191,275,449,416
