County,17_percent,16_percent,15_percent,14_percent,13_percent,12_percent,11_percent,10_percent,09_percent
"Apache County, Arizona",0.006730263,0.007193823,0.00651093,0.009232728,0.006597682,0.007099867,0.006365993,0.007928141,0.010163214
"Cochise County, Arizona",0.04145624,0.042976401,0.044406695,0.008112232,0.015499562,0.016327245,0.014056682,0.016712447,0.03080345
"Coconino County, Arizona",0.009555517,0.009632679,0.009860691,0.012530468,0.006248069,0.006690106,0.005758271,0.006796984,0.007212104
"Gila County, Arizona",0.005245623,0.004439092,0.005610131,0.009946187,0.011704375,0.012079994,0.009698973,0.011439168,0.004744452
"Graham County, Arizona",0.011366128,0.012147842,0.01188977,0.012693381,0.008084437,0.008619397,0.007644039,0.008990506,0.004631829
"Greenlee County, Arizona",0.015752712,0.01633888,0.016001243,0.00826498,0.01077551,0.010844561,0.009319354,0.011184545,0.002780352
"La Paz County, Arizona",0.004625564,0.003275369,0.002972828,0.009313722,0.014480712,0.01491036,0.012983933,0.01577231,0.003442129
"Maricopa County, Arizona",0.012393108,0.011845412,0.011830563,0.005299877,0.007554652,0.007892188,0.006941763,0.008257968,0.007936337
"Mohave County, Arizona",0.011160968,0.010583801,0.009569989,0.00733466,0.013002166,0.013428827,0.012061493,0.014145484,0.006048562
"Navajo County, Arizona",0.010577674,0.009705999,0.009066183,0.007321466,0.007521862,0.007920425,0.007219879,0.008596607,0.006880795
"Pima County, Arizona",0.020041673,0.018606759,0.018073193,0.015661853,0.00974263,0.010149249,0.008753933,0.010552174,0.011137448
"Pinal County, Arizona",0.018031947,0.017089644,0.014814891,0.012983146,0.010206951,0.010581369,0.008980846,0.010647449,0.008464733
"Santa Cruz County, Arizona",0.007192304,0.008416243,0.007753325,0.006013492,0.005391652,0.0055977,0.004706611,0.005113475,0.004041671
"Yavapai County, Arizona",0.013358403,0.011732447,0.010368677,0.011490985,0.012964799,0.013391004,0.011614764,0.013927029,0.005814995
"Yuma County, Arizona",0.026988838,0.023699398,0.022154154,0.006220562,0.00875476,0.009362711,0.008487899,0.010400024,0.014948339
